CDT_time,bar_fence,T_0_2m_init,T_0_2m_rel,T_0_2m_uconv,T_0_2m_lconv,bar_fence_1,T_1_5m_init,T_1_5m_rel,T_1_5m_uconv,T_1_5m_lconv,bar_fence_2,T_4_5m_init,T_4_5m_rel,T_4_5m_uconv,T_4_5m_lconv,bar_fence_3,T_8_5m_init,T_8_5m_rel,T_8_5m_uconv,T_8_5m_lconv,bar_fence_4,T_15m_init,T_15m_rel,T_15m_uconv,T_15m_lconv,bar_fence_5,T_20m_init,T_20m_rel,T_20m_uconv,T_20m_lconv
19:02:30,|,6.15354537963867,6.91839456558228,6.34325504302979,6.54400014877319,|,7.0566668510437,7.37391328811646,7.08023595809937,7.37134218215942,|,7.38114070892334,7.51466417312622,7.39043474197388,7.62545156478882,|,0,7.6921067237854,0,7.61114072799683,|,0,7.65590620040894,0,7.61906337738037,|,0,7.6979193687439,0,7.79483222961426
19:07:30,|,6.16100692749023,6.78715705871582,6.4259729385376,6.2940468788147,|,6.97086954116821,7.2265772819519,7.10268449783325,7.19501686096191,|,7.23254203796387,7.38831615447998,7.39391326904297,7.48798656463623,|,0,7.55959749221802,0,7.4479193687439,|,0,7.53724813461304,0,7.49664449691772,|,0,7.5681209564209,0,7.66469764709473
19:12:30,|,6.11161088943481,6.65899658203125,5.99281883239746,5.97324419021606,|,6.8804349899292,7.06697988510132,6.77717161178589,7.00625419616699,|,7.09550333023071,7.22328853607178,7.15270900726318,7.38397979736328,|,0,7.39501667022705,0,7.36751699447632,|,0,7.37454843521118,0,7.40067100524902,|,0,7.39437675476074,0,7.57488203048706
19:17:30,|,6.00103664398193,6.56775903701782,6.00315427780151,5.90581941604614,|,6.72489976882935,6.90791940689087,6.76228189468384,6.91067123413086,|,6.938796043396,7.02140951156616,7.08969879150391,7.24785232543945,|,0,7.20665550231934,0,7.29127550125122,|,0,7.19751691818237,0,7.2657527923584,|,0,7.21778535842896,0,7.44013404846191
19:22:30,|,6.02718114852905,6.61479997634888,5.91563749313354,6.13672208786011,|,6.71765851974487,6.88912773132324,6.57208061218262,6.90204000473022,|,6.91752481460571,6.93630886077881,6.89518404006958,7.17675590515137,|,0,7.12130451202393,0,7.1963210105896,|,0,7.09134244918823,0,7.16744947433472,|,0,7.1091947555542,0,7.32612800598145
19:27:30,|,6.09936475753784,6.50421380996704,6.02582502365112,5.92173910140991,|,6.7763876914978,6.78274250030518,6.61043739318848,6.74570465087891,|,6.97268438339233,6.82718133926392,6.85160541534424,6.99885892868042,|,0,6.983154296875,0,7.01543617248535,|,0,6.95872497558594,0,6.98865747451782,|,0,6.97305345535278,0,7.13557052612305
19:32:30,|,6.22395992279053,6.33471584320068,5.87563753128052,5.95026683807373,|,6.84693336486816,6.64926147460938,6.45583915710449,6.69752502441406,|,7.02839469909668,6.76134252548218,6.71046829223633,6.9479866027832,|,0,6.89909696578979,0,6.94778537750244,|,0,6.89550304412842,0,6.92538452148438,|,0,6.88673400878906,0,7.08451175689697
19:37:30,|,6.03715753555298,6.37645483016968,5.80449676513672,5.7896990776062,|,6.71391296386719,6.67744970321655,6.39718151092529,6.58184576034546,|,6.91271781921387,6.77664422988892,6.65588617324829,6.87280941009521,|,0,6.91903018951416,0,6.85812091827393,|,0,6.9244966506958,0,6.84489917755127,|,0,6.94805383682251,0,7.02429533004761
19:42:30,|,5.86100673675537,6.308762550354,5.8094630241394,5.62581920623779,|,6.60742473602295,6.60040235519409,6.4037036895752,6.50622081756592,|,6.82311010360718,6.7367787361145,6.64866209030151,6.81805372238159,|,0,6.90006685256958,0,6.83364582061768,|,0,6.89362382888794,0,6.82692289352417,|,0,6.87191295623779,0,7.00127935409546
19:47:30,|,5.70597314834595,6.25993299484253,5.74946308135986,5.65217399597168,|,6.45346689224243,6.50591945648193,6.33946323394775,6.47288608551025,|,6.69906044006348,6.60832214355469,6.60866212844849,6.72966575622559,|,0,6.76531791687012,0,6.75238275527954,|,0,6.76677846908569,0,6.74731540679932,|,0,6.79824924468994,0,6.92308712005615
19:52:30,|,5.76317739486694,5.95946502685547,5.54946327209473,5.76026773452759,|,6.44795989990234,6.33187913894653,6.16929292678833,6.4915771484375,|,6.63913011550903,6.45221471786499,6.47488260269165,6.68798685073853,|,0,6.6003680229187,0,6.65036916732788,|,0,6.57161092758179,0,6.63442945480347,|,0,6.59650993347168,0,6.78498315811157
19:57:30,|,5.73053693771362,5.72079992294312,5.02479887008667,5.52622079849243,|,6.38026762008667,6.10073852539063,5.85389232635498,6.30354499816895,|,6.49785232543945,6.22030210494995,6.22217416763306,6.54411363601685,|,0,6.38270902633667,0,6.49456357955933,|,0,6.34704685211182,0,6.47454833984375,|,0,6.38483238220215,0,6.63100671768188
20:02:30,|,5.40789318084717,5.45658874511719,4.86899328231812,5.08799982070923,|,6.03324413299561,5.89952993392944,5.68879222869873,5.95838928222656,|,6.15377902984619,6.0477180480957,6.03421401977539,6.23563766479492,|,0,6.21187925338745,0,6.24557065963745,|,0,6.25241613388062,0,6.23483228683472,|,0,6.22033643722534,0,6.38583898544312
20:07:30,|,5.19959735870361,5.38836145401001,4.80168342590332,5.20936441421509,|,5.8098669052124,5.78758382797241,5.56609439849854,5.95625400543213,|,5.95825529098511,5.93080520629883,5.88625383377075,6.1795654296875,|,0,6.09856224060059,0,6.16451501846313,|,0,6.1326847076416,0,6.12919473648071,|,0,6.13946294784546,0,6.28609418869019
20:12:30,|,5.06751680374146,5.44588613510132,5.0059061050415,5.32307720184326,|,5.6818060874939,5.76578617095947,5.65818786621094,5.94528436660767,|,5.85250854492188,5.86879205703735,5.90939807891846,6.16369152069092,|,0,6.02070236206055,0,6.14610767364502,|,0,6.0630202293396,0,6.09943151473999,|,0,6.0739598274231,0,6.27684545516968
20:17:30,|,5.25551843643188,5.50622081756592,4.9722146987915,5.24949836730957,|,5.8057336807251,5.80422830581665,5.63060617446899,5.88550329208374,|,5.91892623901367,5.88530206680298,5.88221454620361,6.11387968063354,|,0,6.04224109649658,0,6.10637617111206,|,0,6.0689263343811,0,6.08047008514404,|,0,6.05677843093872,0,6.24178457260132
20:22:30,|,5.23959732055664,5.66919994354248,5.04416084289551,5.03556680679321,|,5.77331113815308,5.90677833557129,5.64181232452393,5.80200672149658,|,5.91458225250244,5.95348978042603,5.89655494689941,6.05684566497803,|,0,6.07389259338379,0,6.03416109085083,|,0,6.10382556915283,0,6.01354503631592,|,0,6.09441089630127,0,6.17686891555786
20:27:30,|,5.15491628646851,5.54715728759766,5.12818765640259,5.11050176620483,|,5.70642137527466,5.84691286087036,5.68422842025757,5.77476501464844,|,5.82067108154297,5.92489910125732,5.91929769515991,5.98933076858521,|,0,6.06859540939331,0,5.97374582290649,|,0,6.12073850631714,0,5.94744968414307,|,0,6.09731531143188,0,6.10812091827393
20:32:30,|,5.19557046890259,5.6449499130249,5.13248300552368,5.03153848648071,|,5.72662210464478,5.89469766616821,5.72111129760742,5.7195987701416,|,5.86802673339844,5.94369125366211,5.93093633651733,5.96852350234985,|,0,6.07809400558472,0,5.98704671859741,|,0,6.13000011444092,0,5.97899341583252,|,0,6.12697982788086,0,6.16703701019287
20:37:30,|,5.16966438293457,5.62929773330688,5.18657684326172,5.17979907989502,|,5.73080015182495,5.87521743774414,5.69832229614258,5.77167797088623,|,5.87919473648071,5.93375825881958,5.93414688110352,5.9882607460022,|,0,6.09989976882935,0,5.98892593383789,|,0,6.1318793296814,0,5.96377897262573,|,0,6.12484836578369,0,6.12181234359741
20:42:30,|,5.28762578964233,5.61853313446045,5.07999992370605,5.02160549163818,|,5.8080940246582,5.82503366470337,5.57805395126343,5.63518381118774,|,5.93652200698853,5.89147615432739,5.82565212249756,5.85362386703491,|,0,6.05067110061646,0,5.85952997207642,|,0,6.05832242965698,0,5.84301996231079,|,0,6.05449676513672,0,6.01377105712891
20:47:30,|,5.03248310089111,5.65311002731323,5.0556902885437,4.88909673690796,|,5.6685619354248,5.8563084602356,5.55936050415039,5.59436225891113,|,5.8314094543457,5.91026830673218,5.7821741104126,5.86264181137085,|,0,6.07381296157837,0,5.89053678512573,|,0,6.084228515625,0,5.88704681396484,|,0,6.07812070846558,0,6.0615439414978
20:52:30,|,4.80536937713623,5.54046821594238,4.9934229850769,4.82586669921875,|,5.49919986724854,5.67362403869629,5.52959728240967,5.5887622833252,|,5.6452841758728,5.70436239242554,5.7968897819519,5.86167764663696,|,0,5.86986637115479,0,5.89628744125366,|,0,5.8364429473877,0,5.88672208786011,|,0,5.83808088302612,0,6.05000019073486
20:57:30,|,4.90702342987061,5.50367879867554,4.91691303253174,4.95869588851929,|,5.58775901794434,5.6788592338562,5.43599319458008,5.6158390045166,|,5.8195972442627,5.70852375030518,5.68250846862793,5.87603998184204,|,0,5.86003351211548,0,5.88288593292236,|,0,5.87442922592163,0,5.87013387680054,|,0,5.88865756988525,0,6.0490608215332
21:02:30,|,5.17530202865601,5.57813310623169,4.95704698562622,5.08093643188477,|,5.80675601959229,5.7870569229126,5.52100658416748,5.69806003570557,|,5.99926424026489,5.84731531143188,5.75060176849365,5.94237422943115,|,0,6.01882934570313,0,5.9655704498291,|,0,6.06006717681885,0,5.93630838394165,|,0,6.06859064102173,0,6.09080839157104
21:07:30,|,5.25342273712158,5.64789295196533,5.18003368377686,5.07357835769653,|,5.84493350982666,5.8548321723938,5.66777801513672,5.70859050750732,|,6.0065770149231,5.94489908218384,5.91193962097168,5.94852352142334,|,0,6.12036800384521,0,5.9553689956665,|,0,6.15442943572998,0,5.93327760696411,|,0,6.13718128204346,0,6.10677862167358
