CDT_time,bar_fence,spd_0_2m_init,spd_0_2m_rel,spd_0_2m_uconv,spd_0_2m_lconv,bar_fence_1,spd_1_5m_init,spd_1_5m_rel,spd_1_5m_uconv,spd_1_5m_lconv,bar_fence_2,spd_3m_init,spd_3m_rel,spd_3m_uconv,spd_3m_lconv,bar_fence_3,spd_4_5m_init,spd_4_5m_rel,spd_4_5m_uconv,spd_4_5m_lconv,bar_fence_4,spd_6m_init,spd_6m_rel,spd_6m_uconv,spd_6m_lconv,bar_fence_5,spd_10m_init,spd_10m_rel,spd_10m_uconv,spd_10m_lconv
19:47:30,|,NaN,NaN,0.690316796302795,NaN,|,NaN,NaN,NaN,1.72045850753784,|,NaN,NaN,NaN,1.79891800880432,|,NaN,NaN,NaN,1.92195904254913,|,NaN,NaN,NaN,2.06687569618225,|,NaN,NaN,NaN,2.20428419113159
19:52:30,|,NaN,NaN,1.0671933889389,NaN,|,NaN,NaN,NaN,2.09753847122192,|,NaN,NaN,NaN,2.21369624137878,|,NaN,NaN,NaN,2.42489075660706,|,NaN,NaN,NaN,2.58589863777161,|,NaN,NaN,NaN,2.82849383354187
19:57:30,|,NaN,NaN,0.869553327560425,NaN,|,NaN,NaN,NaN,1.92527508735657,|,NaN,NaN,NaN,2.03991103172302,|,NaN,NaN,NaN,2.2100145816803,|,NaN,NaN,NaN,2.35182213783264,|,NaN,NaN,NaN,2.39359760284424
20:02:30,|,NaN,NaN,0.968729972839355,NaN,|,NaN,NaN,NaN,1.87842953205109,|,NaN,NaN,NaN,1.93633675575256,|,NaN,NaN,NaN,2.13654327392578,|,NaN,NaN,NaN,2.3313615322113,|,NaN,NaN,NaN,2.49210858345032
20:07:30,|,NaN,NaN,0.97556334733963,NaN,|,NaN,NaN,NaN,1.77030754089355,|,NaN,NaN,NaN,1.87468004226685,|,NaN,NaN,NaN,2.0127387046814,|,NaN,NaN,NaN,2.16069293022156,|,NaN,NaN,NaN,2.37841415405273
20:12:30,|,NaN,NaN,0.589179754257202,NaN,|,NaN,NaN,NaN,1.27340877056122,|,NaN,NaN,NaN,1.38345921039581,|,NaN,NaN,NaN,1.50474739074707,|,NaN,NaN,NaN,1.57202684879303,|,NaN,NaN,NaN,1.70291650295258
20:17:30,|,NaN,NaN,0.415666669607162,NaN,|,NaN,NaN,NaN,1.05493247509003,|,NaN,NaN,NaN,1.10213053226471,|,NaN,NaN,NaN,1.23631513118744,|,NaN,NaN,NaN,1.31937181949615,|,NaN,NaN,NaN,1.4615865945816
20:22:30,|,NaN,NaN,0.783829987049103,NaN,|,NaN,NaN,NaN,1.42751407623291,|,NaN,NaN,NaN,1.47697055339813,|,NaN,NaN,NaN,1.58201909065247,|,NaN,NaN,NaN,1.68090009689331,|,NaN,NaN,NaN,1.82515740394592
20:27:30,|,NaN,NaN,0.662209987640381,NaN,|,NaN,NaN,NaN,1.35332334041595,|,NaN,NaN,NaN,1.44477117061615,|,NaN,NaN,NaN,1.58139336109161,|,NaN,NaN,NaN,1.68583226203918,|,NaN,NaN,NaN,1.8538213968277
20:32:30,|,NaN,NaN,0.356673330068588,NaN,|,NaN,NaN,NaN,0.937539994716644,|,NaN,NaN,NaN,0.922931432723999,|,NaN,NaN,NaN,0.984422504901886,|,NaN,NaN,NaN,1.05214262008667,|,NaN,NaN,NaN,1.09896743297577
20:37:30,|,NaN,NaN,0.65379124879837,NaN,|,NaN,NaN,NaN,0.760541796684265,|,NaN,NaN,NaN,0.796369075775146,|,NaN,NaN,NaN,0.86597728729248,|,NaN,NaN,NaN,0.930125713348389,|,NaN,NaN,NaN,1.10555136203766
20:42:30,|,NaN,NaN,0.484983325004578,NaN,|,NaN,NaN,NaN,1.26022982597351,|,NaN,NaN,NaN,1.25333738327026,|,NaN,NaN,NaN,1.40202820301056,|,NaN,NaN,NaN,1.51198029518127,|,NaN,NaN,NaN,1.60466265678406
20:47:30,|,NaN,NaN,0.235793337225914,NaN,|,NaN,NaN,NaN,1.12902998924255,|,NaN,NaN,NaN,0.808524429798126,|,NaN,NaN,NaN,1.22559487819672,|,NaN,NaN,NaN,1.23140406608582,|,NaN,NaN,NaN,1.1927125453949
20:52:30,|,NaN,NaN,0.208480000495911,NaN,|,NaN,NaN,NaN,0.741170108318329,|,NaN,NaN,NaN,0.755283892154694,|,NaN,NaN,NaN,0.809691607952118,|,NaN,NaN,NaN,0.862867534160614,|,NaN,NaN,NaN,0.922857284545898
