CDT_time,bar_fence,dir_0_2m_init,dir_0_2m_rel,dir_0_2m_uconv,dir_0_2m_lconv,bar_fence_1,dir_1_5m_init,dir_1_5m_rel,dir_1_5m_uconv,dir_1_5m_lconv,bar_fence_2,dir_3m_init,dir_3m_rel,dir_3m_uconv,dir_3m_lconv,bar_fence_3,dir_4_5m_init,dir_4_5m_rel,dir_4_5m_uconv,dir_4_5m_lconv,bar_fence_4,dir_6m_init,dir_6m_rel,dir_6m_uconv,dir_6m_lconv,bar_fence_5,dir_10m_init,dir_10m_rel,dir_10m_uconv,dir_10m_lconv
19:52:30,|,NaN,NaN,166.354095458984,NaN,|,NaN,NaN,NaN,336.935943603516,|,NaN,NaN,NaN,340.893859863281,|,NaN,NaN,NaN,342.673858642578,|,NaN,NaN,NaN,340.685821533203,|,NaN,NaN,NaN,342.146667480469
19:57:30,|,NaN,NaN,150.88899230957,NaN,|,NaN,NaN,NaN,320.042114257813,|,NaN,NaN,NaN,324.280029296875,|,NaN,NaN,NaN,326.723419189453,|,NaN,NaN,NaN,324.621673583984,|,NaN,NaN,NaN,325.498260498047
20:02:30,|,NaN,NaN,158.322052001953,NaN,|,NaN,NaN,NaN,337.037902832031,|,NaN,NaN,NaN,340.529815673828,|,NaN,NaN,NaN,340.740631103516,|,NaN,NaN,NaN,337.933197021484,|,NaN,NaN,NaN,338.966491699219
20:07:30,|,NaN,NaN,171.168716430664,NaN,|,NaN,NaN,NaN,350.880615234375,|,NaN,NaN,NaN,354.677886962891,|,NaN,NaN,NaN,355.409729003906,|,NaN,NaN,NaN,353.264678955078,|,NaN,NaN,NaN,353.724456787109
20:12:30,|,NaN,NaN,171.894424438477,NaN,|,NaN,NaN,NaN,352.078277587891,|,NaN,NaN,NaN,358.026275634766,|,NaN,NaN,NaN,357.740509033203,|,NaN,NaN,NaN,353.194030761719,|,NaN,NaN,NaN,352.7021484375
20:17:30,|,NaN,NaN,180.557800292969,NaN,|,NaN,NaN,NaN,349.622589111328,|,NaN,NaN,NaN,354.347076416016,|,NaN,NaN,NaN,356.1865234375,|,NaN,NaN,NaN,351.909606933594,|,NaN,NaN,NaN,355.174530029297
20:22:30,|,NaN,NaN,169.916091918945,NaN,|,NaN,NaN,NaN,350.789581298828,|,NaN,NaN,NaN,356.325317382813,|,NaN,NaN,NaN,357.58349609375,|,NaN,NaN,NaN,355.222045898438,|,NaN,NaN,NaN,356.934844970703
20:27:30,|,NaN,NaN,182.461334228516,NaN,|,NaN,NaN,NaN,350.650299072266,|,NaN,NaN,NaN,355.112945556641,|,NaN,NaN,NaN,355.915618896484,|,NaN,NaN,NaN,353.413757324219,|,NaN,NaN,NaN,354.911560058594
20:32:30,|,NaN,NaN,153.062042236328,NaN,|,NaN,NaN,NaN,336.57763671875,|,NaN,NaN,NaN,341.437469482422,|,NaN,NaN,NaN,340.528106689453,|,NaN,NaN,NaN,337.328521728516,|,NaN,NaN,NaN,342.273406982422
20:37:30,|,NaN,NaN,202.314376831055,NaN,|,NaN,NaN,NaN,358.753295898438,|,NaN,NaN,NaN,8.70254707336426,|,NaN,NaN,NaN,10.0276575088501,|,NaN,NaN,NaN,6.04827880859375,|,NaN,NaN,NaN,6.2023868560791
20:42:30,|,NaN,NaN,183.01220703125,NaN,|,NaN,NaN,NaN,346.391510009766,|,NaN,NaN,NaN,353.978240966797,|,NaN,NaN,NaN,352.171813964844,|,NaN,NaN,NaN,348.754455566406,|,NaN,NaN,NaN,349.195190429688
20:47:30,|,NaN,NaN,239.553466796875,NaN,|,NaN,NaN,NaN,350.843017578125,|,NaN,NaN,NaN,9.05756187438965,|,NaN,NaN,NaN,359.579498291016,|,NaN,NaN,NaN,356.202026367188,|,NaN,NaN,NaN,355.686126708984
20:52:30,|,NaN,NaN,198.503494262695,NaN,|,NaN,NaN,NaN,346.766540527344,|,NaN,NaN,NaN,355.211181640625,|,NaN,NaN,NaN,358.198699951172,|,NaN,NaN,NaN,355.361175537109,|,NaN,NaN,NaN,359.992797851563
20:57:30,|,NaN,NaN,15.7149057388306,NaN,|,NaN,NaN,NaN,358.061645507813,|,NaN,NaN,NaN,3.03011202812195,|,NaN,NaN,NaN,350.060546875,|,NaN,NaN,NaN,327.031494140625,|,NaN,NaN,NaN,316.219940185547
21:02:30,|,NaN,NaN,343.844909667969,NaN,|,NaN,NaN,NaN,20.227331161499,|,NaN,NaN,NaN,28.9318504333496,|,NaN,NaN,NaN,32.2023887634277,|,NaN,NaN,NaN,24.7718200683594,|,NaN,NaN,NaN,28.9489994049072
21:07:30,|,NaN,NaN,187.551452636719,NaN,|,NaN,NaN,NaN,13.3630323410034,|,NaN,NaN,NaN,18.795825958252,|,NaN,NaN,NaN,19.5572204589844,|,NaN,NaN,NaN,13.0524044036865,|,NaN,NaN,NaN,12.833984375
21:12:30,|,NaN,NaN,177.446823120117,NaN,|,NaN,NaN,NaN,337.956268310547,|,NaN,NaN,NaN,344.58984375,|,NaN,NaN,NaN,344.529632568359,|,NaN,NaN,NaN,340.135284423828,|,NaN,NaN,NaN,344.389862060547
21:17:30,|,NaN,NaN,148.533843994141,NaN,|,NaN,NaN,NaN,253.522964477539,|,NaN,NaN,NaN,252.849990844727,|,NaN,NaN,NaN,255.558654785156,|,NaN,NaN,NaN,255.233474731445,|,NaN,NaN,NaN,258.588287353516
21:22:30,|,NaN,NaN,218.769683837891,NaN,|,NaN,NaN,NaN,346.676513671875,|,NaN,NaN,NaN,359.324920654297,|,NaN,NaN,NaN,2.20370221138,|,NaN,NaN,NaN,354.184814453125,|,NaN,NaN,NaN,359.152130126953
21:27:30,|,NaN,NaN,185.611755371094,NaN,|,NaN,NaN,NaN,6.88396215438843,|,NaN,NaN,NaN,13.8759832382202,|,NaN,NaN,NaN,11.9933738708496,|,NaN,NaN,NaN,5.9505500793457,|,NaN,NaN,NaN,9.3860445022583
21:32:30,|,NaN,NaN,193.832015991211,NaN,|,NaN,NaN,NaN,8.76277637481689,|,NaN,NaN,NaN,17.5271759033203,|,NaN,NaN,NaN,16.9099273681641,|,NaN,NaN,NaN,11.7929391860962,|,NaN,NaN,NaN,14.1933183670044
21:37:30,|,NaN,NaN,208.008895874023,NaN,|,NaN,NaN,NaN,33.5316429138184,|,NaN,NaN,NaN,39.4905548095703,|,NaN,NaN,NaN,38.9040641784668,|,NaN,NaN,NaN,32.5876541137695,|,NaN,NaN,NaN,35.8971824645996
21:42:30,|,NaN,NaN,226.788955688477,NaN,|,NaN,NaN,NaN,41.9732551574707,|,NaN,NaN,NaN,45.459846496582,|,NaN,NaN,NaN,45.7062797546387,|,NaN,NaN,NaN,37.4231224060059,|,NaN,NaN,NaN,37.7674369812012
