CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
19:57:30,|,0.38610667,1.116928697,1.545404553,2.101139784,2.44127059,2.775572777,|,0.094716668,0.568821847,1.111063361,1.378783584,1.452805638,2.366555691,|,NaN,0.571435571,0.662838459,0.952411354,0.996973038,1.875274062,|,0.096869998,0.273619741,0.312373608,0.586930871,0.566029966,0.927219391,|,1.883159757,0.534465313,2.970852613,2.11749506,3.402632952,2.79102397,,1,1,0,0
20:02:30,|,0.284811616,1.400211215,1.991526246,2.321314812,2.566379786,2.938080072,|,0.127573326,0.65917033,0.996542931,1.199252367,1.317989469,2.345558405,|,NaN,0.45838213,0.900563419,0.859259784,1.1244452,2.110211372,|,0.043543331,0.20611161,0.313062489,0.461613357,0.407727748,0.993635893,|,1.798993707,0.475241125,2.981099606,2.108086586,3.311987877,2.645681381,,1,1,0,0
20:07:30,|,0.45922333,1.699013591,2.189869165,2.445974588,2.731004238,3.052603006,|,0.140706673,0.437722892,0.919404745,1.107593298,1.483170033,2.587702513,|,NaN,0.212226734,0.266762346,0.472746372,1.125877142,2.283043385,|,0.126603335,0.327684313,0.571326792,0.632564723,0.555651188,0.964215636,|,2.078215599,0.560856938,3.148534536,2.049945593,3.455005646,2.575638771,,1,1,0,0
20:12:30,|,0.561873317,1.858340144,2.32595849,2.58600688,2.855319023,3.208272219,|,0.10751,0.323002934,0.879621327,1.15506506,1.482061982,2.568223476,|,NaN,0.276212215,0.159791157,0.349512696,0.778963208,1.856647134,|,0.114474826,0.218905985,0.54739219,0.762399852,0.52385956,0.681697428,|,2.025369644,0.344885737,3.194141626,1.913754821,3.56545949,2.734094381,,1,1,0,0
20:17:30,|,0.481163323,1.6751647,2.013837099,2.217697144,2.448176861,2.782605648,|,0.127085701,0.175040364,0.564566731,1.067048669,1.383652568,2.375584126,|,NaN,0.141663522,0.148618728,0.500979841,0.850358307,1.767751336,|,0.111979999,0.208243325,0.467114121,0.724689722,0.66313988,0.360772461,|,1.825348616,0.318157911,3.156590939,1.317874908,3.485585213,2.533539534,,1,1,0,0
20:22:30,|,0.421317101,1.28853333,1.527586937,2.112006187,2.496170521,2.89312005,|,0.09590333,0.311444163,0.807234406,1.242995262,1.463014603,2.343453169,|,NaN,0.330942571,0.318005085,0.737864912,1.113726735,1.839879274,|,0.128629997,0.298300534,0.233670652,0.407664448,0.54756707,1.039462209,|,1.872395873,0.715540826,3.027663469,2.011098146,3.501974821,2.818451643,,1,1,0,0
20:27:30,|,0.496396661,1.676680923,2.270213366,2.675766706,2.996906281,3.483494997,|,0.104676664,0.600287139,1.061144471,1.330740094,1.529724598,2.706019402,|,NaN,0.46335879,0.682790101,0.758991301,1.187121868,2.160963058,|,0.133149996,0.474438041,0.299098223,0.434949905,0.687752783,1.755565643,|,2.091626644,1.148581386,3.456262827,2.577163458,3.848222017,3.251541138,,1,1,0,0
20:32:30,|,0.619696677,2.006962061,2.549381733,2.815778494,3.113239527,3.552306652,|,0.123766668,0.509038568,1.262576342,1.477685571,1.877490044,3.078206301,|,NaN,0.623623669,0.930238545,1.091168284,1.571362138,2.545902491,|,0.111463331,0.287078828,0.265263557,0.278184712,0.493288249,1.836946726,|,2.534353018,1.083959937,3.712514877,2.792637587,4.17390728,3.34923315,,1,1,0,0
20:37:30,|,0.647520006,2.01809454,2.489415646,2.785103083,3.093249321,3.560958624,|,0.089766666,0.620657027,1.314656973,1.549384952,1.938484192,3.02508688,|,NaN,0.373421907,0.812788188,1.099938512,1.62990427,2.571764231,|,0.111853331,0.279697925,0.411121011,0.201345131,0.335289955,1.68939817,|,2.510154247,0.9638381,3.570482969,2.772746801,3.973876953,3.259687185,,1,1,0,0
20:42:30,|,0.692983329,2.066980839,2.523531199,2.782552242,3.061607838,3.373203039,|,0.122146666,0.737124979,1.325020909,1.564545631,1.997968674,3.174738169,|,NaN,0.397889137,0.936793208,1.629024386,2.151996136,2.92405653,|,0.135886669,0.228462875,0.322824389,0.425295055,0.845894098,2.059411049,|,2.655915737,1.543741107,3.793644428,2.873903275,4.137963295,3.429101467,,1,1,0,1
