CDT_Time,bar_fence,R_Bulk_lconv_6_8_5,L_lconv_6,L_lconv_8_5,Term_3_lconv_6,Term_3_lconv_8_5
23:57:30,|,-0.134286070526406,457.630199574727,694.732055118561,0.0131110228424081,0.0122349327879356
00:02:30,|,-0.146433429522269,611.24091577248,894.106081955355,0.00981609680434639,0.00950670191327971
00:07:30,|,-0.230119784099468,312.464989136453,1073.54369460709,0.0192021513084776,0.00791770287758145
00:12:30,|,-0.239333189276666,548.145633057594,852.733792106736,0.0109459961699076,0.00996794084939472
00:17:30,|,-0.371015723287913,495.634587050398,638.604369878358,0.012105692695312,0.0133102753456245
00:22:30,|,-0.33123319173904,365.768791782426,405.082210594036,0.0164038051763832,0.0209833949200956
00:27:30,|,-0.448230473171901,206.960697508549,250.485945796139,0.0289910116859369,0.0339340395844716
00:32:30,|,-0.31038743653272,446.695066207164,456.64492305743,0.0134319818012438,0.0186140249695298
00:37:30,|,-0.467267266135504,372.98329168471,540.102614415796,0.0160865114705243,0.0157377501480789
00:42:30,|,-0.442716369948047,534.050109997917,696.958799018197,0.0112349007849159,0.012195842870445
00:47:30,|,-0.367221041646759,566.320708197366,637.246523407728,0.0105947035189625,0.0133386369133025
00:52:30,|,-0.397189346729609,817.644036107067,893.752260892954,0.00733815662444864,0.00951046545214621
00:57:30,|,-0.302137043929074,444.66321634366,666.336867380075,0.0134933580729621,0.0127563105331701
01:02:30,|,-0.464126103306526,574.133011528506,626.659587614087,0.0104505399959955,0.0135639830108759
01:07:30,|,-0.402356141527289,673.290292842766,635.987574445786,0.00891146072322951,0.0133650409874864
01:12:30,|,-0.619285546823356,393.098312112236,524.614875846693,0.0152633573208702,0.016202361754004
01:17:30,|,-0.372721158878466,258.920751674695,353.337531875231,0.0231731136310709,0.0240563179203999
01:22:30,|,-0.450335058969022,450.618179844185,618.515511647625,0.0133150420208849,0.0137425817783573
01:27:30,|,-0.52291795130275,219.237311525363,390.163369011988,0.027367604347337,0.0217857458569844
01:32:30,|,-0.547663571458347,415.764599504689,437.375267731663,0.0144312430811761,0.0194341121391777
01:37:30,|,-0.495418601527816,264.926935987001,333.492815688879,0.0226477537198951,0.0254878054342549
01:42:30,|,-0.710129158268229,257.783274552213,262.005794903344,0.0232753657521901,0.0324420305403387
01:47:30,|,-0.700601028750874,682.189285789078,800.634255295553,0.00879521289030491,0.0106165829700382
01:52:30,|,-0.516690208838912,231.729296056746,349.231915433974,0.0258922807866758,0.0243391271655039
01:57:30,|,-0.595142216814731,154.567766950617,238.197322359649,0.0388179250976495,0.0356847000453096
02:02:30,|,-0.917873950315027,293.437927258203,314.318138126995,0.0204472545729253,0.0270426646411532
02:07:30,|,-1.42177989918418,206.535925776644,277.632646499621,0.0290506359968029,0.0306159960190834
02:12:30,|,-0.861333950654133,231.832255798549,236.003103765588,0.0258807816855895,0.0360164754800966
02:17:30,|,-0.559030802084195,223.677955296158,246.338280010024,0.0268242795408952,0.0345053963990254
02:22:30,|,-0.629098617275493,461.084135326488,691.509935175914,0.0130128094642672,0.0122919419774319
02:27:30,|,-0.661083521646837,399.427375249619,467.741040456585,0.0150215042127504,0.0181724485662039
02:32:30,|,-0.604804435410858,341.985435139899,472.219315702349,0.0175446068267367,0.0180001107903806
02:37:30,|,-1.07297060219865,409.896931244096,582.709493562557,0.0146378261037211,0.0145870285174742
02:42:30,|,-0.749605916081187,219.113242254478,499.177911883402,0.0273831008033353,0.0170279970280124
02:47:30,|,-0.667014124508759,369.06972906206,499.156108201712,0.0162570905374661,0.0170287408294423
02:52:30,|,-0.636731766295939,571.711954397429,665.22170522432,0.0104947954190041,0.0127776949147107
02:57:30,|,-0.862053200422415,375.323559404545,515.915075002109,0.0159862066999446,0.0164755798228328
03:02:30,|,-0.791200173630538,449.001724912323,713.107684388485,0.013362977617005,0.0119196583995432
03:07:30,|,-0.770391880986506,419.044665741097,571.534058560577,0.0143182827286174,0.0148722545449128
03:12:30,|,-0.611601220086848,264.434322322292,197.170311301288,0.0226899441317122,0.0431099385292926
03:17:30,|,-0.553932515124556,136.315505821422,223.125533464948,0.0440155356050264,0.0380951470143389
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN
04:17:30,|,NaN,NaN,NaN,NaN,NaN
04:22:30,|,NaN,NaN,NaN,NaN,NaN
04:27:30,|,NaN,NaN,NaN,NaN,NaN
04:32:30,|,NaN,NaN,NaN,NaN,NaN
04:37:30,|,NaN,NaN,NaN,NaN,NaN
04:42:30,|,NaN,NaN,NaN,NaN,NaN
04:47:30,|,NaN,NaN,NaN,NaN,NaN
04:52:30,|,NaN,NaN,NaN,NaN,NaN
04:57:30,|,NaN,NaN,NaN,NaN,NaN
05:02:30,|,NaN,NaN,NaN,NaN,NaN
05:07:30,|,NaN,NaN,NaN,NaN,NaN
05:12:30,|,NaN,NaN,NaN,NaN,NaN
05:17:30,|,NaN,NaN,NaN,NaN,NaN
05:22:30,|,NaN,NaN,NaN,NaN,NaN
