CDT_Time,bar_fence,R_Bulk_Rel_1_5_3,L_Rel_1_5,L_Rel_3,Term_3_Rel_1_5,Term_3_Rel_3
23:57:30,|,NaN,472.927972983434,NaN,0.00317173033884494,NaN
00:02:30,|,NaN,510.216998821063,NaN,0.00293992556787796,NaN
00:07:30,|,NaN,421.86858103041,NaN,0.00355560965534874,NaN
00:12:30,|,NaN,567.675285068945,NaN,0.00264235565551849,NaN
00:17:30,|,-0.0397653392506297,340.224175404808,417.393936272923,0.00440885777212998,0.00718745467839853
00:22:30,|,-0.0548385427325919,398.945677090644,552.996712271952,0.00375991039917744,0.0054249870449947
00:27:30,|,-0.0196009639347248,268.453018619602,299.223621981811,0.00558756987614843,0.010025946414693
00:32:30,|,-0.0201177904643619,228.230284313917,311.672792048269,0.00657230921176454,0.00962547927358185
00:37:30,|,-0.0118381792339435,308.273278558978,435.64618351278,0.00486581259008806,0.00688632223473155
00:42:30,|,-0.00696676400977146,354.2850291591,391.253044360005,0.00423387915532381,0.0076676719663799
00:47:30,|,-0.00133464382309627,321.146589033755,572.593056545088,0.00467076422799041,0.00523932305100135
00:52:30,|,-0.000311770865189734,566.901169562482,1263.18826213137,0.0026459638479096,0.00237494290434438
00:57:30,|,-0.000504072112598593,474.019351348065,448.247391472555,0.00316442777227163,0.00669273275666944
01:02:30,|,-0.0041995396094802,382.515455883712,484.427259265803,0.00392141017291603,0.00619288023664646
01:07:30,|,-0.00455324766357488,354.024575750299,381.129413597567,0.00423699399066007,0.00787134210315157
01:12:30,|,-0.00389209608552831,347.591885612678,402.298725426169,0.00431540568720713,0.00745714517693785
01:17:30,|,-0.00400420589189962,321.485666985463,395.187466599011,0.0046658378709861,0.00759133386951271
01:22:30,|,-0.0039369639597932,385.813169531736,470.352322288828,0.00388789216765348,0.00637819748694214
01:27:30,|,-0.00522578106711105,354.945473339011,496.238940947801,0.00422600121052209,0.00604547477525663
01:32:30,|,-0.00648968821856953,371.440472801656,450.887703229467,0.00403833214158377,0.00665354139958266
01:37:30,|,-0.00774093850660897,399.873896636667,533.417379614192,0.00375118259185327,0.00562411371404851
01:42:30,|,-0.00812432132666627,357.751274112071,435.558889394881,0.00419285718471013,0.00688770238203123
01:47:30,|,-0.00793145595458527,319.890389682448,414.316262862949,0.00468910617005104,0.0072408453852857
01:52:30,|,-0.00509136983938272,126.246514520241,222.288331439271,0.0118815161408635,0.0134959850594749
01:57:30,|,-0.00610112139816111,195.333347088313,273.449920414446,0.00767918034661962,0.0109709302363414
02:02:30,|,-0.0159784836444117,166.51303324051,208.291989022969,0.00900830385951477,0.0144028582859669
02:07:30,|,-0.0141560039408479,203.012671402233,284.405704779282,0.00738870135366094,0.0105483116181801
02:12:30,|,-0.0174192261257694,164.793780812564,247.338624715551,0.00910228524768234,0.0121291205667943
02:17:30,|,-0.014195136940351,274.645964156455,514.740841525416,0.0054615767051487,0.00582817557493517
02:22:30,|,-0.0118369691658347,311.83721505646,461.857480692652,0.00481020201430549,0.0064955102502635
02:27:30,|,-0.0103658786961068,338.386048363618,400.089591319305,0.00443280687030026,0.00749832053892587
02:32:30,|,-0.0151396317346206,344.032225898498,483.901956203704,0.00436005666644309,0.00619960295993744
02:37:30,|,-0.0253073700662407,283.290204336604,419.399741115609,0.00529492364027423,0.00715308023800863
02:42:30,|,-0.016120658992014,347.390691089716,459.807700927025,0.00431790499421476,0.00652446662800917
02:47:30,|,-0.0117905939753762,298.943065239301,344.654577387588,0.00501767786049583,0.00870436720364891
02:52:30,|,-0.0114787759796436,268.873876572173,325.950433767388,0.00557882386761869,0.00920385337526787
02:57:30,|,-0.0154232837821078,261.903034836832,364.943255243156,0.00572731049464362,0.00822045607611284
03:02:30,|,-0.00841479779879832,352.067652356974,466.809818057275,0.00426054478438449,0.00642660004985567
03:07:30,|,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN
04:17:30,|,NaN,NaN,NaN,NaN,NaN
04:22:30,|,NaN,NaN,NaN,NaN,NaN
04:27:30,|,NaN,NaN,NaN,NaN,NaN
04:32:30,|,NaN,NaN,NaN,NaN,NaN
04:37:30,|,NaN,NaN,NaN,NaN,NaN
04:42:30,|,NaN,NaN,NaN,NaN,NaN
04:47:30,|,NaN,NaN,NaN,NaN,NaN
04:52:30,|,NaN,NaN,NaN,NaN,NaN
04:57:30,|,NaN,NaN,NaN,NaN,NaN
05:02:30,|,NaN,NaN,NaN,NaN,NaN
05:07:30,|,NaN,NaN,NaN,NaN,NaN
05:12:30,|,NaN,NaN,NaN,NaN,NaN
05:17:30,|,NaN,NaN,NaN,NaN,NaN
05:22:30,|,NaN,NaN,NaN,NaN,NaN
05:27:30,|,NaN,NaN,NaN,NaN,NaN
05:32:30,|,NaN,NaN,NaN,NaN,NaN
05:37:30,|,NaN,NaN,NaN,NaN,NaN
