CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
19:02:30,|,280.350090981,281.637804031,-0.001709465,-0.002139609,-0.164091796,-0.281417042,-1.198510051,-1.385336995,-0.000725674,0.003992275,0.013421226,0.008799139
19:07:30,|,280.365582943,281.650536537,-0.002586225,-0.002376452,-0.144884944,-0.184659287,-0.988349617,-1.135855794,0.003364168,0.006477136,0.00989487,0.019267099
19:12:30,|,280.333992958,281.629575729,-0.003048617,-0.002894056,0.126711935,0.040120658,-1.059496164,-1.234177351,0.002459167,0.00477673,0.014560417,0.015432256
19:17:30,|,280.329014778,281.625678062,-0.003282053,-0.002613563,0.137968346,0.021593148,-0.840029836,-1.010435224,-2.49e-05,-0.00044149,0.005937374,0.014741828
19:22:30,|,280.288056374,281.589530945,-0.001913432,-0.001630589,0.437249064,0.424921632,-0.626337469,-0.72393173,-0.002898103,0.001339868,0.004601234,0.006510906
19:27:30,|,280.24929142,281.56107235,-0.001550765,-0.001584234,0.702614844,0.712902844,-0.635738492,-0.741184592,-0.001220638,0.002022996,0.009346997,0.00601247
19:32:30,|,280.241020203,281.539458275,-0.001265763,-0.001571,0.326479197,0.304497212,-0.591538429,-0.631251454,0.001754255,0.00451009,0.001906948,0.002274289
19:37:30,|,280.23547411,281.535366058,-0.002669591,-0.002460643,0.419372678,0.447269797,-0.506376565,-0.583309114,-0.000111617,0.001453852,0.003324031,0.002412669
19:42:30,|,280.163984776,281.475349426,-0.001257288,-0.00196145,0.74584955,0.801800549,-0.763329446,-0.837317646,-0.009574764,-0.003646732,0.009041071,0.004412403
19:47:30,|,280.126412868,281.437653542,-0.001868672,-0.001223387,0.857134938,0.926651955,-0.857594192,-0.936676025,-0.003311615,0.000866394,0.010734092,0.011750887
19:52:30,|,280.113176346,281.416715622,-0.00174617,-0.001487192,0.851849794,0.913171709,-0.901396573,-1.00727272,-0.003593855,0.002023075,0.008154186,0.007725689
22:57:30,|,279.621789932,280.453567505,-0.001260116,-0.001005968,0.746641994,1.069605589,-0.406883478,-0.533919573,-0.00340632,-0.00211314,0.000989349,0.001752025
23:02:30,|,279.569461346,280.408672333,-0.002157107,-0.002668694,0.752290964,1.044102192,-0.412177235,-0.551964045,-0.003120666,-0.001915851,0.001043399,0.000487506
23:07:30,|,279.476196766,280.2900877,-0.002145728,-0.001729162,0.833937109,1.167421103,-0.313248515,-0.434193045,-0.00256893,-0.001481688,0.001267493,0.000478571
23:12:30,|,279.457506657,280.265246391,-0.001704548,-0.000816934,0.667281032,1.009276509,-0.274831146,-0.325986505,-0.003017674,-0.001546824,0.00125961,0.000757528
23:17:30,|,279.322584152,280.147367954,-0.002058318,-0.001414364,0.78573209,1.138526559,-0.290596634,-0.264020562,-0.006859485,-0.00626729,0.001155581,-0.000947721
23:22:30,|,279.397842407,280.206140518,-0.003870331,-0.003729881,1.088899493,1.450930357,-0.33460632,-0.346486777,-0.009018735,-0.009493072,0.002285908,-0.000546325
23:27:30,|,279.536213398,280.336835861,-0.00406434,-0.004050596,1.304087043,1.661741257,-0.344132572,-0.368016064,-0.015404114,-0.015175265,0.000271258,-0.00177219
23:32:30,|,279.579172611,280.373915195,-0.00354435,-0.003250804,1.178818226,1.532506347,-0.466190755,-0.447841972,-0.014247056,-0.012657406,0.003273476,0.003329339
23:37:30,|,279.611599445,280.405285835,-0.004795312,-0.003527604,1.285742879,1.611462116,-0.600378633,-0.653139353,-0.019487968,-0.017066328,0.005018718,0.002931508
23:42:30,|,279.634075165,280.443597794,-0.004075523,-0.003653098,1.427995801,1.770363212,-0.613422394,-0.655519009,-0.018824589,-0.021422101,0.000943147,-6.55e-05
