CDT_Time,bar_fence,R_Bulk_uconv_1_5_3,L_low_uconv_1_5,L_high_uconv_3,Term_3_uconv_1_5,Term_3_uconv_3
22:57:30,|,NaN,28.9055921598002,NaN,0.0518930728596555,NaN
23:02:30,|,NaN,122.252781559743,NaN,0.0122696594781933,NaN
23:07:30,|,NaN,161.576036187481,NaN,0.00928355488470774,NaN
23:12:30,|,NaN,252.363579183956,NaN,0.00594380538130901,NaN
23:17:30,|,NaN,325.352510267931,NaN,0.00461038397633611,NaN
23:22:30,|,NaN,252.743636102095,NaN,0.00593486753270448,NaN
23:27:30,|,0.106839794660422,243.799404880485,288.640881793538,0.00615259910390401,0.0103935380925903
23:32:30,|,0.0801311637349625,87.8755552117976,161.943801528032,0.0170695934311277,0.0185249448987445
23:37:30,|,0.099800059663524,44.2843509532244,58.4682997663002,0.0338720104893122,0.0513098552889532
23:42:30,|,0.0422216040474063,153.696733929477,173.652190801506,0.00975947869320544,0.0172759121906453
23:47:30,|,-0.0179203839097028,34.3882189561466,38.5923445630226,0.0436195896598445,0.0777356243568178
23:52:30,|,-0.0439342419072475,42.8611803170953,51.9952383456606,0.0349967030516358,0.0576975910766331
23:57:30,|,-0.0401917075230405,51.3235711418253,37.6927223406477,0.0292263372682109,0.0795909611645325
00:02:30,|,-0.0360175734472901,61.8373997187535,102.572391978211,0.0242571648682228,0.0292476361537642
00:07:30,|,-0.0229932956558379,86.969823719053,97.7891983076237,0.0172473616233326,0.0306782349371824
00:12:30,|,-0.0352434923819637,111.926447721939,82.9086834676639,0.0134016582365454,0.0361843883478148
00:17:30,|,-0.0247448759950356,49.5433505351923,64.3955763938619,0.0302765150882256,0.0465870509746063
00:22:30,|,-0.0531963466418684,64.587307880687,66.5010873974257,0.0232243771914285,0.0451120442899123
00:27:30,|,-0.0242814723716481,109.426780323585,122.246843916698,0.0137077961680345,0.0245405108539594
00:32:30,|,-0.0483408859008251,80.511996455406,154.740920061049,0.0186307639362889,0.0193872441679708
00:37:30,|,-0.0370367257611923,79.4788736739384,145.358196667436,0.0188729398223953,0.0206386710125723
00:42:30,|,-0.0214144889095086,48.8524920392699,99.724934683137,0.0307046772310864,0.0300827472039176
00:47:30,|,-0.034254346120221,85.1223731383135,98.9670135991237,0.0176216891599425,0.0303131305159092
00:52:30,|,0.0202420078476891,248.734026420346,315.754301454093,0.00603053800715262,0.00950105821578542
00:57:30,|,0.045334825881875,165.108825233036,311.835855651443,0.00908491716225881,0.00962044596742356
01:02:30,|,0.0196875753662934,258.370710391714,301.969193101929,0.00580561162573675,0.00993478827817829
04:57:30,|,-0.0124949305667219,259.426413714951,384.289835259356,0.0057819864158017,0.00780660773391341
05:02:30,|,-0.00720909828184895,266.726074617233,300.630487006797,0.00562374714265407,0.00997902784201716
05:07:30,|,-0.0141079622270766,204.142464353708,269.059365015983,0.00734780979914607,0.0111499556977762
05:12:30,|,-0.0111241258360304,137.69098737919,108.25483678578,0.0108939592093208,0.0277123876315712
05:17:30,|,-0.00909744795453547,121.438001975561,197.274890794142,0.0123519818804485,0.0152072064920341
05:22:30,|,-0.00829671780066398,239.166211952838,223.450493916314,0.00627178892767591,0.0134257926550995
05:27:30,|,-0.00449119808846549,116.843152843184,100.30048659966,0.0128377227377043,0.0299101240851824
05:32:30,|,-0.000567576430409627,102.892214578886,161.434860223275,0.0145783624751314,0.0185833468425023
05:37:30,|,-0.00251238607804162,130.606787730604,124.196858615468,0.011484854853746,0.0241552003282825
05:42:30,|,-0.00401026942274431,91.4982345505595,172.155682548814,0.0163937589328146,0.0174260875713433
05:47:30,|,-0.00200961978308365,88.6685076312309,193.002310610547,0.0169169419907059,0.0155438553585692
05:52:30,|,0.00356074545937235,66.0025850432046,70.9158290132431,0.022726382595744,0.0423036724204376
05:57:30,|,0.0211758917422664,101.093702022124,128.292375547927,0.0148377195611228,0.0233840864446327
06:02:30,|,0.0390269641974927,60.4642060550667,77.020026056633,0.0248080657609876,0.0389509086610032
06:07:30,|,0.0308293105282955,70.4070148667679,63.6874042893541,0.0213046953181933,0.0471050756970712
06:12:30,|,0.0358188123170115,41.9767816982274,64.927211670784,0.0357340400887222,0.0462055881162989
06:17:30,|,0.00477540965198207,56.2346760902962,91.5219801861974,0.0266739333145877,0.0327790110517346
06:22:30,|,0.0111172605985817,75.1264840512601,88.699486836555,0.0199663277064387,0.0338220671504904
06:27:30,|,0.0343986745141985,54.8827129989618,54.1651813301725,0.027331010404467,0.0553861341608555
06:32:30,|,0.0430622566506798,40.0157904590913,52.8119664590223,0.0374852022861692,0.0568053076063311
06:37:30,|,0.0309766126223554,38.8660387861393,47.2886950202639,0.038594105467083,0.0634401097072875
06:42:30,|,0.0245077262563668,39.1227477192981,28.074848389395,0.0383408652879484,0.106857211066302
06:47:30,|,0.0341877594718731,39.3420916794065,52.8922154086479,0.0381271034652479,0.0567191216480884
06:52:30,|,0.0131220642802962,25.6947518166913,50.2091304996927,0.0583776800298028,0.0597500886819452
06:57:30,|,0.0168302847621395,49.5958883326643,60.6727976131072,0.0302444426428811,0.0494455525049319
