CDT_Time,bar_fence,R_Bulk_lconv_1_5_3,L_lconv_1_5,L_high_lconv_3,Term_3_lconv_1_5,Term_3_lconv_3
21:57:30,|,NaN,NaN,456.661951715403,NaN,0.006569410892961
22:02:30,|,NaN,NaN,170.900797320849,NaN,0.0175540433223832
22:07:30,|,NaN,NaN,156.464796505065,NaN,0.0191736420396833
22:12:30,|,NaN,NaN,657.67676563177,NaN,0.00456151130277223
22:17:30,|,NaN,NaN,-990.934839789484,NaN,-0.00302744426731159
22:22:30,|,NaN,NaN,-503.451539149321,NaN,-0.00595886548498607
22:27:30,|,NaN,NaN,-943.284275343376,NaN,-0.00318037740945903
22:32:30,|,NaN,NaN,-685.035721535419,NaN,-0.00437933366930981
22:37:30,|,NaN,NaN,-424.701350459843,NaN,-0.00706378728664688
22:42:30,|,-0.21118506525265,-115.926702761427,-344.681382110617,-0.0129392104171801,-0.00870369029400382
22:47:30,|,-0.426490345475502,-408.985781523638,-532.300519477914,-0.00366760916335989,-0.00563591409405806
22:52:30,|,-0.370143301793491,-449.309239419819,-526.873141167938,-0.00333845794477076,-0.00569397026644744
22:57:30,|,-0.597192915744178,-290.275224867394,-456.346935314438,-0.00516750956160742,-0.00657394575890578
23:02:30,|,-0.710016931684793,1040.91397276665,-8887.97088155482,0.00144104127645933,-0.000337534859191077
23:07:30,|,-0.502153619332119,107.706502107299,135.466773601595,0.0139267358112296,0.0221456518099629
23:12:30,|,-0.347425213788645,115.481841696557,134.347747704528,0.0129890550580362,0.0223301101154142
23:17:30,|,-0.257209462662366,64.6935627583793,68.942710533047,0.0231862326952416,0.0435143900900441
23:22:30,|,-0.194371667533927,51.489848367202,55.0647934218505,0.0291319560567102,0.0544812722172051
23:27:30,|,-0.199838477247997,38.253435176167,31.8125974778103,0.0392121646877492,0.0943022650725876
23:32:30,|,-0.0876207398492357,46.5533039756095,52.1025659184265,0.0322211287255979,0.057578738150764
23:37:30,|,-0.0957334925414218,27.9406100279721,26.4226824120682,0.0536852988713672,0.113538813100588
23:42:30,|,-0.0738194512787926,43.9187431954293,45.1859657078563,0.0341539828069604,0.0663922957715696
23:47:30,|,-0.0637836931988762,31.1045183282425,17.4651258001429,0.0482245050114799,0.171770878396734
23:52:30,|,-0.160939366914491,26.7611262061952,26.6782798924014,0.0560514527095183,0.112451028031026
23:57:30,|,-0.0396708343623461,10.3818935147739,12.0174785078208,0.144482314123665,0.249636394027885
00:02:30,|,-0.0132401366934295,17.9467881333038,16.0984038110897,0.0835804149945055,0.186353879254376
00:07:30,|,0.0109718878932975,7.65361209219603,8.56238337847749,0.195985892926226,0.350369735550599
00:12:30,|,-0.0270632485945374,14.841087715747,12.6840590386437,0.101070759012389,0.236517347550976
00:17:30,|,-0.0585470429417203,12.855737762439,13.6634307065466,0.116679417993621,0.219564182995608
00:22:30,|,-0.115284884393944,9.55457319819817,12.9837301656017,0.156992883814305,0.231058406308228
00:27:30,|,-1.12783085218481,8.77020207694348,8.6137086271493,0.171033687347233,0.34828203853383
00:32:30,|,0.00534386657617447,5.72355314910858,4.95338536300926,0.262074966532567,0.605646397391834
00:37:30,|,0.0727582165329259,8.58216925791046,4.49649710893127,0.174780985427129,0.667186017765069
00:42:30,|,0.107998922959692,5.90639739576569,6.26028966109401,0.253961916120875,0.479211052907692
00:47:30,|,0.213575803635518,0.503865666545577,3.28333394763242,2.97698394551024,0.913705412805564
00:52:30,|,NaN,NaN,NaN,NaN,NaN
00:57:30,|,NaN,NaN,NaN,NaN,NaN
01:02:30,|,NaN,NaN,NaN,NaN,NaN
01:07:30,|,NaN,NaN,NaN,NaN,NaN
01:12:30,|,NaN,NaN,NaN,NaN,NaN
01:17:30,|,NaN,NaN,NaN,NaN,NaN
01:22:30,|,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN
02:12:30,|,NaN,NaN,NaN,NaN,NaN
02:17:30,|,NaN,NaN,NaN,NaN,NaN
02:22:30,|,NaN,NaN,NaN,NaN,NaN
02:27:30,|,NaN,NaN,NaN,NaN,NaN
02:32:30,|,NaN,NaN,NaN,NaN,NaN
02:37:30,|,NaN,NaN,NaN,NaN,NaN
02:42:30,|,NaN,NaN,NaN,NaN,NaN
02:47:30,|,NaN,NaN,NaN,NaN,NaN
02:52:30,|,NaN,NaN,NaN,NaN,NaN
02:57:30,|,NaN,NaN,NaN,NaN,NaN
03:02:30,|,NaN,NaN,NaN,NaN,NaN
03:07:30,|,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
