CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
18:02:30,|,273.183350593,274.486083865,0.002734106,0.002013669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:07:30,|,273.165227979,274.470671415,0.00173527,0.001217523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:12:30,|,273.193247944,274.495700955,0.001211764,0.001011339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:17:30,|,273.177733138,274.481044054,0.001545488,0.001269568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:22:30,|,273.196057737,274.497391939,0.001163038,0.000839955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:27:30,|,273.195953801,274.497945309,0.0010098,0.000679798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:32:30,|,273.199997112,274.499732614,0.001408442,0.001053874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:37:30,|,273.183177665,274.482859612,0.000747829,0.000656531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:42:30,|,273.189259961,274.493467689,0.000599656,0.000558155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:47:30,|,273.186920866,274.490532279,0.001189033,0.000933995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:52:30,|,273.181878552,274.488128304,0.001421087,0.001303014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:57:30,|,273.124432825,274.432949781,0.001789393,0.00149839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:02:30,|,273.107198849,274.412841082,0.001522037,0.00110859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:07:30,|,273.113942273,274.41782701,0.000692471,0.000789205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:12:30,|,273.078103788,274.384551406,0.001011608,0.000651096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:17:30,|,273.068202689,274.371629834,0.001487004,0.001412066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:22:30,|,273.031923313,274.336862087,0.000589508,0.00037322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:27:30,|,273.016825266,274.315957904,0.001401709,0.001105088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:32:30,|,272.971906103,274.274995327,0.001150737,0.000797132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:37:30,|,272.976720046,274.279556751,0.00160102,0.001395009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:42:30,|,272.967463721,274.272140861,0.000766435,0.00038513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:47:30,|,272.967707884,274.268176794,0.001771727,0.001325396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:52:30,|,272.968537934,274.274920225,0.00082874,0.000640507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:57:30,|,272.922174491,274.229678392,0.001135495,0.001089559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:02:30,|,272.905658975,274.213563204,0.001356375,0.001413976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:07:30,|,272.885599144,274.19108057,0.000637037,0.000626582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:12:30,|,272.862581745,274.162266135,0.000817137,0.000314874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:17:30,|,272.881550148,274.180934429,0.000553064,0.000412451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:22:30,|,272.908414893,274.209372997,0.000419533,0.000329899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:27:30,|,272.91566705,274.216660142,0.000174243,0.000667318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:32:30,|,272.891464256,274.19037807,0.000170717,0.000225488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:37:30,|,272.871215776,274.170628428,0.000777582,0.001126457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:42:30,|,272.85411264,274.15509069,0.000193694,-0.000126953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
