CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
19:57:30,|,296.54069138,296.14219666,-0.002261224,-0.003874966,-0.3155725,-0.386586845,0.651378989,0.92235446,0.000959978,0.013292123,-0.012573007,-0.012717033
20:02:30,|,296.50740814,296.11140251,-0.009697026,-0.009011173,-0.526455343,-0.661964178,1.213293195,1.474428773,-0.011403397,0.009547298,-0.075940587,-0.127466902
20:07:30,|,296.51571083,296.11620903,-0.008335615,-0.00810923,-0.528981566,-0.544570804,1.649382114,1.953696489,0.034893375,0.030175123,-0.091432951,-0.132081658
20:12:30,|,296.51694679,296.13881493,-0.011491565,-0.008014805,-0.399560928,-0.403193533,1.522046804,2.149554014,0.026690254,0.013858522,-0.099607669,-0.087515578
20:17:30,|,296.53575134,296.1505394,-0.01080102,-0.007588408,-0.605145633,-0.674279511,1.718668818,2.032339573,0.003955126,0.024653686,-0.116390899,-0.093577035
20:22:30,|,296.46925354,296.10039139,-0.008052689,-0.008872883,-0.337080836,-0.354381412,1.018558264,1.39867568,0.031701308,0.01783303,-0.060919497,-0.077653892
20:27:30,|,296.46559334,296.08600998,-0.008510596,-0.007875931,-0.291174322,-0.346596986,1.375620842,1.912993431,0.005300258,0.008408619,-0.070691347,-0.071396016
20:32:30,|,296.43244934,296.07242393,-0.009444336,-0.006872706,-0.397934586,-0.577403188,1.047334075,1.417603731,0.012962075,0.000830689,-0.040326711,-0.034317013
20:37:30,|,296.40611458,296.03969193,-0.00388455,-0.005455871,-0.651828706,-0.682525635,0.947146058,1.183536291,-0.004715395,0.010276315,-0.042899221,-0.042448606
20:42:30,|,296.26906586,295.93298531,-0.002672675,-0.004737647,-0.501894414,-0.597862482,0.813098133,1.004351616,0.010261407,0.002434603,-0.016069971,-0.019871978
20:47:30,|,296.12117195,295.80790329,-0.011579487,-0.015404526,-0.704478443,-0.843868136,1.071877599,1.359859824,0.013621206,0.013160836,-0.062216345,-0.062290579
20:52:30,|,296.15483093,295.84068108,-0.017048977,-0.015842101,-0.92201525,-1.177948475,1.508844137,1.853312254,0.033465661,0.033396345,-0.068871476,-0.06591779
00:57:30,|,296.0105896,297.08085823,-0.010418063,-0.018146323,-1.072852731,-1.12866652,1.841409564,2.125730991,0.012179537,-0.012981858,-0.110240817,-0.157575935
01:02:30,|,295.98506927,297.06557655,-0.011592346,-0.014261141,-0.973299086,-0.994883597,2.031352758,2.401802778,0.070785232,0.03583334,-0.14343138,-0.165302873
01:07:30,|,295.96015358,297.02910805,-0.008029155,-0.010945862,-0.473692507,-0.365079701,1.925439596,2.316440344,-0.003146906,0.010441218,-0.109575175,-0.159326762
01:12:30,|,296.03550529,297.07544136,-0.008884124,-0.019543746,-0.656472623,-0.704660714,1.86657548,2.534144878,-0.013480295,0.031344566,-0.142497167,-0.17324549
01:17:30,|,296.13187027,297.08687973,-0.007594923,-0.011189364,-0.434855998,-0.390803814,2.543658018,3.112724543,-0.008807418,-0.033604383,-0.098304555,-0.086448371
01:22:30,|,296.16742325,297.12671471,-0.011405716,-0.01072184,-0.828569829,-0.800188661,2.30228591,2.795230627,0.008372011,-0.036781669,-0.137126744,-0.155888379
01:27:30,|,296.14135551,297.17921638,-0.008331159,-0.014057918,-0.593689382,-0.664499044,1.757419705,2.266922951,0.045062732,0.108190678,-0.119629234,-0.125390083
01:32:30,|,296.17201805,297.14663506,-0.009766341,-0.016057644,-0.593890905,-0.521631539,2.083935499,2.676254034,0.018076418,-0.012643345,-0.134612367,-0.156429544
01:37:30,|,296.21072578,297.15173149,-0.017820355,-0.025447028,-0.473319769,-0.505494416,2.071896791,2.552574873,0.105516881,0.079281598,-0.238598213,-0.236414
01:42:30,|,296.30864334,297.26309204,-0.02171511,-0.021895291,0.248360232,0.471266508,2.342564821,3.018623829,0.006292035,0.082601272,-0.15632613,-0.103614457
01:47:30,|,296.21897507,297.25952911,-0.019741785,-0.017935907,0.14759326,0.356231004,1.935738325,2.696540356,-0.077657327,-0.08536882,-0.152118981,-0.187997848
01:52:30,|,296.11898804,297.24108696,-0.013269539,-0.016866004,-0.070528865,0.309291184,2.277429342,3.007493258,-0.034692049,-0.033907082,-0.217784449,-0.170578778
01:57:30,|,296.05305099,297.12911987,-0.007356965,-0.015128223,0.219279692,0.318158954,1.433995605,2.078506947,-0.029496234,-0.034158647,-0.108646207,-0.159558296
02:02:30,|,296.16732216,297.10731316,-0.009537543,-0.012268768,-0.220138341,0.012570701,2.180072546,2.815516233,0.009098123,-0.055679567,-0.185513869,-0.103083611
02:07:30,|,296.39181137,297.21105385,-0.026644969,-0.04176157,0.198774219,0.654550314,2.733671665,3.443553686,0.001884926,-0.077036969,-0.405258954,-0.390597552
02:12:30,|,296.44533348,297.18876076,-0.019284779,-0.021054067,0.186808571,0.398524463,1.934846878,2.697389126,-0.053558931,-0.097159825,-0.264163852,-0.250178546
02:17:30,|,296.44919014,297.23802185,-0.02252342,-0.021849243,0.322091579,0.609999895,1.96022296,2.747852325,-0.055897914,-0.082920827,-0.254515409,-0.21496585
02:22:30,|,296.42788696,297.21942711,-0.015575095,-0.015563311,0.251564473,0.437484205,1.902051926,2.385941744,-0.059538282,-0.055769075,-0.14198263,-0.118836492
02:27:30,|,296.40268517,297.1649456,-0.009352281,-0.01168272,0.206762016,0.425084114,1.492877841,2.048061609,-0.008834421,-0.03152483,-0.078645095,-0.093709767
02:32:30,|,296.40285492,297.12482643,-0.006081677,-0.006378349,0.394059747,0.470601678,1.208211184,1.699008465,-0.041406356,-0.012582945,-0.071522273,-0.055870842
02:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
