CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
19:02:30,|,289.7405777,291.16193008,-0.0641701,-0.066916674,2.239669561,2.590757132,-0.115235046,0.19421722,-0.164816216,-0.290151209,-0.07603319,-0.166168362
19:07:30,|,289.56242371,290.99373436,-0.042786703,-0.047961794,2.107409,2.372303724,-0.142641187,0.081738532,-0.135623187,-0.280364692,-0.102462158,-0.168324873
19:12:30,|,289.49604988,290.91300201,-0.059540376,-0.058430899,2.852561951,3.407396317,-0.152211696,0.022051001,-0.265227884,-0.405996025,-0.198516816,-0.254477173
19:17:30,|,289.22075272,290.65197945,-0.046402548,-0.052955724,2.31300807,2.730306149,-0.393879086,-0.28006351,-0.125356361,-0.263454705,-0.038187969,-0.163921311
19:22:30,|,288.94423676,290.38836288,-0.051684476,-0.053967219,3.191684484,3.735527992,-0.521705568,-0.489215314,-0.293990165,-0.493888557,-0.123183817,-0.220535859
19:27:30,|,288.65583992,290.11138153,-0.088933609,-0.095662855,3.588018417,4.144115925,-0.722182453,-0.649329007,-0.36987555,-0.445789754,-0.073627017,-0.193508342
19:32:30,|,288.46997643,289.95022392,-0.077005938,-0.073790118,3.63855648,4.280734062,-0.737093747,-0.631920695,-0.372591317,-0.497981608,-0.016250122,-0.184743628
19:37:30,|,288.11661625,289.60101891,-0.066286184,-0.064266153,3.459265709,4.080477715,-0.519322097,-0.368304223,-0.290917158,-0.47609207,-0.130606577,-0.213177353
19:42:30,|,287.80388451,289.2963028,-0.059337724,-0.047492072,3.254973888,3.896622419,-0.459305257,-0.405439466,-0.341209888,-0.534289241,-0.088890821,-0.179491103
19:47:30,|,287.59196281,289.0721817,-0.059240758,-0.066231221,3.145776033,3.647792578,-0.520879209,-0.431879163,-0.252093345,-0.431036323,-0.077460937,-0.156484231
19:52:30,|,287.47765923,288.96694756,-0.071828768,-0.07379812,3.223070383,3.778819323,-0.443339378,-0.309061229,-0.34460941,-0.703550875,-0.079890497,-0.193047419
19:57:30,|,287.53510284,289.02384186,-0.058263242,-0.058862049,3.772986174,4.453045845,-0.669482529,-0.482708693,-0.466820866,-0.825976908,-0.161916509,-0.230987549
20:02:30,|,287.32857609,288.80011082,-0.049212147,-0.054337129,3.190486431,3.595304966,-0.57344687,-0.329964757,-0.312122256,-0.518041193,-0.054446518,-0.166907609
20:07:30,|,287.29491711,288.77417755,-0.064831905,-0.076186851,2.781885147,3.226420641,-0.383751869,-0.146557122,-0.233533159,-0.417208314,-0.14051351,-0.198332563
20:12:30,|,287.17653465,288.64327908,-0.051406283,-0.065197095,2.519670725,3.068480492,-0.158587128,-0.079455934,-0.337609172,-0.481585383,-0.086231962,-0.10203588
