,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
11/11/2018,18:43:56,,18:43:56,,18:43:56,0.026,18:43:56,,18:43:56,,18:43:56,0.022,18:43:56,0.031,18:43:56,0.023
11/11/2018,18:43:57,,18:43:57,,18:43:57,0.026,18:43:57,,18:43:57,,18:43:57,0.024,18:43:57,0.031,18:43:57,0.023
11/11/2018,18:43:58,,18:43:58,,18:43:58,0.026,18:43:58,,18:43:58,,18:43:58,0.026,18:43:58,0.033,18:43:58,0.024
11/11/2018,18:43:59,,18:43:59,,18:43:59,0.025,18:43:59,,18:43:59,,18:43:59,0.026,18:43:59,0.034,18:43:59,0.024
11/11/2018,18:44:00,,18:44:00,,18:44:00,0.024,18:44:00,,18:44:00,,18:44:00,0.025,18:44:00,0.034,18:44:00,0.022
11/11/2018,18:44:01,,18:44:01,,18:44:01,0.025,18:44:01,,18:44:01,,18:44:01,0.026,18:44:01,0.033,18:44:01,0.023
11/11/2018,18:44:02,,18:44:02,,18:44:02,0.024,18:44:02,,18:44:02,,18:44:02,0.027,18:44:02,0.033,18:44:02,0.023
11/11/2018,18:44:03,,18:44:03,,18:44:03,0.025,18:44:03,,18:44:03,,18:44:03,0.03,18:44:03,0.034,18:44:03,0.023
11/11/2018,18:44:04,,18:44:04,,18:44:04,0.031,18:44:04,,18:44:04,,18:44:04,0.03,18:44:04,0.031,18:44:04,0.023
11/11/2018,18:44:05,,18:44:05,,18:44:05,0.028,18:44:05,,18:44:05,,18:44:05,0.03,18:44:05,0.032,18:44:05,0.022
11/11/2018,18:44:06,,18:44:06,,18:44:06,0.027,18:44:06,,18:44:06,,18:44:06,0.029,18:44:06,0.032,18:44:06,0.023
11/11/2018,18:44:07,,18:44:07,,18:44:07,0.025,18:44:07,,18:44:07,,18:44:07,0.031,18:44:07,0.031,18:44:07,0.024
11/11/2018,18:44:08,,18:44:08,,18:44:08,0.026,18:44:08,,18:44:08,,18:44:08,0.032,18:44:08,0.032,18:44:08,0.024
11/11/2018,18:44:09,,18:44:09,,18:44:09,0.026,18:44:09,,18:44:09,,18:44:09,0.034,18:44:09,0.032,18:44:09,0.023
11/11/2018,18:44:10,,18:44:10,,18:44:10,0.026,18:44:10,,18:44:10,,18:44:10,0.032,18:44:10,0.032,18:44:10,0.022
11/11/2018,18:44:11,,18:44:11,,18:44:11,0.023,18:44:11,,18:44:11,,18:44:11,0.031,18:44:11,0.032,18:44:11,0.022
11/11/2018,18:44:12,,18:44:12,,18:44:12,0.024,18:44:12,,18:44:12,,18:44:12,0.032,18:44:12,0.032,18:44:12,0.021
11/11/2018,18:44:13,,18:44:13,,18:44:13,0.025,18:44:13,,18:44:13,,18:44:13,0.03,18:44:13,0.032,18:44:13,0.022
11/11/2018,18:44:14,,18:44:14,,18:44:14,0.024,18:44:14,,18:44:14,,18:44:14,0.031,18:44:14,0.032,18:44:14,0.022
11/11/2018,18:44:15,,18:44:15,,18:44:15,0.026,18:44:15,,18:44:15,,18:44:15,0.033,18:44:15,0.033,18:44:15,0.023
11/11/2018,18:44:16,,18:44:16,,18:44:16,0.025,18:44:16,,18:44:16,,18:44:16,0.034,18:44:16,0.033,18:44:16,0.023
11/11/2018,18:44:17,,18:44:17,,18:44:17,0.026,18:44:17,,18:44:17,,18:44:17,0.032,18:44:17,0.033,18:44:17,0.023
11/11/2018,18:44:18,,18:44:18,,18:44:18,0.026,18:44:18,,18:44:18,,18:44:18,0.032,18:44:18,0.032,18:44:18,0.023
11/11/2018,18:44:19,,18:44:19,,18:44:19,0.026,18:44:19,,18:44:19,,18:44:19,0.032,18:44:19,0.031,18:44:19,0.024
11/11/2018,18:44:20,,18:44:20,,18:44:20,0.025,18:44:20,,18:44:20,,18:44:20,0.032,18:44:20,0.031,18:44:20,0.023
11/11/2018,18:44:21,,18:44:21,,18:44:21,0.026,18:44:21,,18:44:21,,18:44:21,0.032,18:44:21,0.03,18:44:21,0.021
11/11/2018,18:44:22,,18:44:22,,18:44:22,0.027,18:44:22,,18:44:22,,18:44:22,0.03,18:44:22,0.031,18:44:22,0.021
11/11/2018,18:44:23,,18:44:23,,18:44:23,0.025,18:44:23,,18:44:23,,18:44:23,0.031,18:44:23,0.031,18:44:23,0.022
11/11/2018,18:44:24,,18:44:24,,18:44:24,0.025,18:44:24,,18:44:24,,18:44:24,0.031,18:44:24,0.031,18:44:24,0.022
11/11/2018,18:44:25,,18:44:25,,18:44:25,0.026,18:44:25,,18:44:25,,18:44:25,0.03,18:44:25,0.03,18:44:25,0.022
11/11/2018,18:44:26,,18:44:26,,18:44:26,0.024,18:44:26,,18:44:26,,18:44:26,0.03,18:44:26,0.032,18:44:26,0.023
11/11/2018,18:44:27,,18:44:27,,18:44:27,0.026,18:44:27,,18:44:27,,18:44:27,0.031,18:44:27,0.033,18:44:27,0.024
11/11/2018,18:44:28,,18:44:28,,18:44:28,0.024,18:44:28,,18:44:28,,18:44:28,0.031,18:44:28,0.032,18:44:28,0.023
11/11/2018,18:44:29,,18:44:29,,18:44:29,0.024,18:44:29,,18:44:29,,18:44:29,0.031,18:44:29,0.031,18:44:29,0.025
11/11/2018,18:44:30,,18:44:30,,18:44:30,0.026,18:44:30,,18:44:30,,18:44:30,0.031,18:44:30,0.033,18:44:30,0.026
11/11/2018,18:44:31,,18:44:31,,18:44:31,0.026,18:44:31,,18:44:31,,18:44:31,0.031,18:44:31,0.034,18:44:31,0.024
11/11/2018,18:44:32,,18:44:32,,18:44:32,0.027,18:44:32,,18:44:32,,18:44:32,0.03,18:44:32,0.033,18:44:32,0.023
11/11/2018,18:44:33,,18:44:33,,18:44:33,0.027,18:44:33,,18:44:33,,18:44:33,0.03,18:44:33,0.034,18:44:33,0.023
11/11/2018,18:44:34,,18:44:34,,18:44:34,0.026,18:44:34,,18:44:34,,18:44:34,0.031,18:44:34,0.034,18:44:34,0.024
11/11/2018,18:44:35,,18:44:35,,18:44:35,0.027,18:44:35,,18:44:35,,18:44:35,0.031,18:44:35,0.033,18:44:35,0.024
11/11/2018,18:44:36,,18:44:36,,18:44:36,0.028,18:44:36,,18:44:36,,18:44:36,0.03,18:44:36,0.034,18:44:36,0.023
11/11/2018,18:44:37,,18:44:37,,18:44:37,0.025,18:44:37,,18:44:37,,18:44:37,0.03,18:44:37,0.034,18:44:37,0.023
11/11/2018,18:44:38,,18:44:38,,18:44:38,0.025,18:44:38,,18:44:38,,18:44:38,0.03,18:44:38,0.034,18:44:38,0.023
11/11/2018,18:44:39,,18:44:39,,18:44:39,0.026,18:44:39,,18:44:39,,18:44:39,0.03,18:44:39,0.034,18:44:39,0.022
11/11/2018,18:44:40,,18:44:40,,18:44:40,0.027,18:44:40,,18:44:40,,18:44:40,0.03,18:44:40,0.033,18:44:40,0.022
11/11/2018,18:44:41,,18:44:41,,18:44:41,0.026,18:44:41,,18:44:41,,18:44:41,0.03,18:44:41,0.034,18:44:41,0.023
11/11/2018,18:44:42,,18:44:42,,18:44:42,0.025,18:44:42,,18:44:42,,18:44:42,0.031,18:44:42,0.033,18:44:42,0.023
11/11/2018,18:44:43,,18:44:43,,18:44:43,0.025,18:44:43,,18:44:43,,18:44:43,0.029,18:44:43,0.032,18:44:43,0.023
11/11/2018,18:44:44,,18:44:44,,18:44:44,0.025,18:44:44,,18:44:44,,18:44:44,0.029,18:44:44,0.033,18:44:44,0.023
11/11/2018,18:44:45,,18:44:45,,18:44:45,0.025,18:44:45,,18:44:45,,18:44:45,0.03,18:44:45,0.034,18:44:45,0.022
11/11/2018,18:44:46,,18:44:46,,18:44:46,0.026,18:44:46,,18:44:46,,18:44:46,0.03,18:44:46,0.032,18:44:46,0.023
11/11/2018,18:44:47,,18:44:47,,18:44:47,0.027,18:44:47,,18:44:47,,18:44:47,0.029,18:44:47,0.034,18:44:47,0.022
11/11/2018,18:44:48,,18:44:48,,18:44:48,0.027,18:44:48,,18:44:48,,18:44:48,0.029,18:44:48,0.035,18:44:48,0.023
11/11/2018,18:44:49,,18:44:49,,18:44:49,0.025,18:44:49,,18:44:49,,18:44:49,0.031,18:44:49,0.034,18:44:49,0.023
11/11/2018,18:44:50,,18:44:50,,18:44:50,0.026,18:44:50,,18:44:50,,18:44:50,0.031,18:44:50,0.032,18:44:50,0.023
