CDT_Time,bar_fence,R_Bulk_uconv_1_5_4_5,L_low_uconv_1_5,L_high_uconv_4_5,Term_3_uconv_1_5,Term_3_uconv_4_5
19:02:30,|,-0.333616145868246,52.4438469046511,60.6746377396777,0.028602020800022,0.0741660793972448
19:07:30,|,-0.139609753225856,54.943384362983,103.088001191394,0.0273008300706462,0.0436520249494922
19:12:30,|,-0.152555570061199,31.3976581189275,123.833875906414,0.0477742637466248,0.0363390063265145
19:17:30,|,-0.119783552300622,78.6402547530256,175.816990956905,0.0190742006712827,0.0255947959040148
19:22:30,|,-0.145273036466601,28.8217430251016,36.7242486275678,0.0520440418434656,0.122534841914287
19:27:30,|,-0.15712215837255,49.9550565455289,146.137682324847,0.0300269903334591,0.0307928792109693
19:32:30,|,-0.153480106241045,87.4370881878107,270.731359696273,0.0171551915907592,0.0166216429638903
19:37:30,|,-0.0676854093596688,102.546080804807,169.313771608801,0.0146275702418623,0.0265778734785805
19:42:30,|,-0.0673777253381264,84.8332575928903,248.147069721858,0.0176817446666779,0.0181344071684745
19:47:30,|,-0.0795401780516914,100.89870960431,124.79105063876,0.0148663942867305,0.0360602781767294
19:52:30,|,-0.133229126244271,72.7322259093455,217.738143833755,0.0206235954041833,0.0206670265520211
19:57:30,|,-0.327462568675205,27.5699016740429,73.5489993401944,0.0544071581297024,0.0611837012110205
20:02:30,|,-0.0912316117115933,71.6536292086416,205.638603396832,0.0209340408373774,0.0218830507777575
20:07:30,|,-0.0762807263910656,108.134106196062,269.787339138022,0.0138716641101217,0.0166798042279435
20:12:30,|,-0.069701894571379,67.4953391831144,252.699500677294,0.0222237567534924,0.0178077122746145
20:17:30,|,-0.0621623310947704,81.7561902136089,244.893046857819,0.0183472345773558,0.0183753685853426
20:22:30,|,-0.173891026655713,66.5363380589381,82.3349323729969,0.0225440720628673,0.054654808965093
20:27:30,|,-0.0655248699519557,63.7857777219447,136.021603827915,0.0235162140146477,0.0330829800073016
20:32:30,|,-0.163662801943681,14.4674479362384,51.1111400684561,0.103681036670107,0.0880434283792709
20:37:30,|,-0.127879048658031,76.3492147016698,227.715442180431,0.0196465674972711,0.0197615056621167
20:42:30,|,-0.0952649125298942,11.8566972270602,71.1526848043732,0.126510778783875,0.0632442754953278
20:47:30,|,-0.0499958538025041,31.1673401475396,100.250006330746,0.0481273022625388,0.044887777713984
20:52:30,|,-0.0539394634084822,36.3010880038871,78.2826623562282,0.0413210755512171,0.0574839928095775
00:57:30,|,-0.174991590793087,234.673969815552,315.432071242709,0.00639184653150481,0.0142661460588688
01:02:30,|,-0.160119062632224,173.155597090089,507.081734301178,0.00866272892824586,0.00887430900306746
01:07:30,|,-0.121169426318159,410.585565231383,509.492175259916,0.00365331888653875,0.00883232406406308
01:12:30,|,-0.121196054669487,417.060853767546,571.339152211444,0.00359659744243473,0.00787623250145233
01:17:30,|,-0.0567037268775035,412.074136285645,415.513846139249,0.00364012168664771,0.010829964011577
01:22:30,|,-0.10924356303413,394.19611320735,437.153642044377,0.00380521255726078,0.0102938636836135
01:27:30,|,-0.141414473739218,222.125529443071,283.944387466865,0.00675293832168193,0.015848173792571
01:32:30,|,-0.109938719055471,345.331860551852,471.425087321806,0.0043436478684676,0.00954552509193936
01:37:30,|,-0.108310423017147,181.821942905901,440.196456676596,0.00824982934417493,0.0102227083652017
01:42:30,|,-0.0612137930426648,285.368037013916,502.631672471879,0.00525637003953198,0.00895287791529246
01:47:30,|,-0.0624567089135727,456.726454095686,394.24638993219,0.00328424155541852,0.0114141818794434
01:52:30,|,-0.0617981205661194,468.483815632738,761.187771486571,0.00320181818442135,0.00591181331146672
01:57:30,|,-0.132318883905333,301.413619664143,381.196173560219,0.00497655016940312,0.011804945359162
02:02:30,|,-0.0801408884536427,383.179181075423,706.687230515394,0.00391461768823173,0.00636773922845345
02:07:30,|,-0.0357878325572068,488.89863548541,609.748027707932,0.00306812065145304,0.00738009767233801
02:12:30,|,-0.0758482761462723,414.582908574987,613.784890190226,0.00361809415915343,0.00733155877885059
02:17:30,|,-0.0769952604593092,398.789720165901,447.337522915876,0.00376138080835179,0.0100595183043615
02:22:30,|,-0.0875846515250308,208.089931948281,317.79749918904,0.00720842179127057,0.0141599603882446
02:27:30,|,-0.155006427537999,232.441304168217,286.03893820069,0.0064532420576786,0.0157321238440716
02:32:30,|,-0.212273468487597,239.292051042477,382.2693287385,0.00626849071444388,0.0117718050120582
02:37:30,|,NaN,NaN,NaN,NaN,NaN
02:42:30,|,NaN,NaN,NaN,NaN,NaN
02:47:30,|,NaN,NaN,NaN,NaN,NaN
02:52:30,|,NaN,NaN,NaN,NaN,NaN
02:57:30,|,NaN,NaN,NaN,NaN,NaN
03:02:30,|,NaN,NaN,NaN,NaN,NaN
03:07:30,|,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN
