CDT_Time,bar_fence,R_Bulk_lconv_10_15,L_lconv_10,L_lconv_15,Term_3_lconv_10,Term_3_lconv_15
18:02:30,|,NaN,-171.134606113831,NaN,-0.0584335350230008,NaN
18:07:30,|,NaN,-123.00278183971,NaN,-0.0812989743031293,NaN
18:12:30,|,NaN,-140.970775476293,NaN,-0.0709366885882081,NaN
18:17:30,|,NaN,-303.383583108759,NaN,-0.0329615725990524,NaN
18:22:30,|,NaN,-146.056734650645,NaN,-0.0684665450307318,NaN
18:27:30,|,NaN,-140.074087019545,NaN,-0.0713907919214541,NaN
18:32:30,|,NaN,-257.934438141012,NaN,-0.0387695418730129,NaN
18:37:30,|,NaN,-245.927805373559,NaN,-0.0406623398472988,NaN
18:42:30,|,NaN,-751.502453775449,NaN,-0.0133066764449821,NaN
18:47:30,|,NaN,-200.501561814648,NaN,-0.0498749232150342,NaN
18:52:30,|,NaN,-429.537720968355,NaN,-0.0232808424309182,NaN
18:57:30,|,NaN,-335.342146677057,NaN,-0.0298202898117374,NaN
19:02:30,|,NaN,-333.618948091725,NaN,-0.0299743166783519,NaN
19:07:30,|,NaN,-457.611169345959,NaN,-0.0218526134628499,NaN
19:12:30,|,NaN,-880.405592443943,NaN,-0.0113584012707606,NaN
19:17:30,|,NaN,-266.834267144706,NaN,-0.0374764459865155,NaN
19:22:30,|,NaN,-850.770361242901,NaN,-0.0117540530977018,NaN
19:27:30,|,NaN,-130.454518726416,NaN,-0.0766550679702527,NaN
19:32:30,|,NaN,-254.863653197891,NaN,-0.0392366658584911,NaN
19:37:30,|,NaN,-225.09476047964,NaN,-0.0444257342049706,NaN
19:42:30,|,NaN,-85.5886060382888,NaN,-0.116837981863222,NaN
19:47:30,|,NaN,-395.67944290846,NaN,-0.025272983419342,NaN
19:52:30,|,NaN,-1701.40402668438,NaN,-0.00587749872644158,NaN
19:57:30,|,NaN,-65.1768030363003,NaN,-0.153428820287956,NaN
20:02:30,|,NaN,-109.083871842003,NaN,-0.0916725802920161,NaN
20:07:30,|,NaN,-729.850786230133,NaN,-0.0137014307426489,NaN
20:12:30,|,NaN,-192.112398562536,NaN,-0.0520528611106005,NaN
20:17:30,|,NaN,4858.20580226934,NaN,0.00205837307166544,NaN
20:22:30,|,NaN,101236.072778439,NaN,9.87790194300163e-05,NaN
20:27:30,|,NaN,-934.924446671532,NaN,-0.0106960514676897,NaN
20:32:30,|,NaN,-513.140524674097,NaN,-0.0194878391379265,NaN
20:37:30,|,NaN,-198.705197275291,NaN,-0.0503258099794228,NaN
20:42:30,|,NaN,-1636.57591394727,NaN,-0.00611031844888938,NaN
