CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv
19:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.970003307,NaN,NaN,NaN,NaN,NaN,|,NaN,1.866253018,1.93585062,2.094003677,2.252653837,2.414886236,|,NaN,2.35484767,NaN,NaN,NaN,NaN
19:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.029616714,NaN,NaN,NaN,NaN,NaN,|,NaN,1.935737252,2.030184507,2.210113049,2.324856997,2.48846221,|,NaN,2.41809845,NaN,NaN,NaN,NaN
19:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.025089979,NaN,NaN,NaN,NaN,NaN,|,NaN,1.898602128,2.011876822,2.205038548,2.273402691,2.374727011,|,NaN,2.329293013,NaN,NaN,NaN,NaN
19:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.690316796,NaN,NaN,NaN,NaN,NaN,|,NaN,1.720458508,1.798918009,1.921959043,2.066875696,2.204284191,|,NaN,2.123965502,NaN,NaN,NaN,NaN
19:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,1.067193389,NaN,NaN,NaN,NaN,NaN,|,NaN,2.097538471,2.213696241,2.424890757,2.585898638,2.828493834,|,NaN,2.753947973,NaN,NaN,NaN,NaN
19:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.869553328,NaN,NaN,NaN,NaN,NaN,|,NaN,1.925275087,2.039911032,2.210014582,2.351822138,2.393597603,|,NaN,2.386097431,NaN,NaN,NaN,NaN
20:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.968729973,NaN,NaN,NaN,NaN,NaN,|,NaN,1.878429532,1.936336756,2.136543274,2.331361532,2.492108583,|,NaN,2.453796625,NaN,NaN,NaN,NaN
20:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.975563347,NaN,NaN,NaN,NaN,NaN,|,NaN,1.770307541,1.874680042,2.012738705,2.16069293,2.378414154,|,NaN,2.292979479,NaN,NaN,NaN,NaN
20:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.589179754,NaN,NaN,NaN,NaN,NaN,|,NaN,1.273408771,1.38345921,1.504747391,1.572026849,1.702916503,|,NaN,1.663693786,NaN,NaN,NaN,NaN
20:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.41566667,NaN,NaN,NaN,NaN,NaN,|,NaN,1.054932475,1.102130532,1.236315131,1.319371819,1.461586595,|,NaN,1.411146641,NaN,NaN,NaN,NaN
