,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
10/17/2018,23:24:34,0,23:24:34,,23:24:34,,23:24:34,,23:24:34,,23:24:34,,23:24:34,,23:24:34,
10/17/2018,23:24:35,0,23:24:35,,23:24:35,,23:24:35,,23:24:35,,23:24:35,,23:24:35,,23:24:35,
10/17/2018,23:24:36,0,23:24:36,,23:24:36,,23:24:36,,23:24:36,,23:24:36,,23:24:36,,23:24:36,
10/17/2018,23:24:37,0,23:24:37,,23:24:37,,23:24:37,,23:24:37,,23:24:37,,23:24:37,,23:24:37,
10/17/2018,23:24:38,0,23:24:38,,23:24:38,,23:24:38,,23:24:38,,23:24:38,,23:24:38,,23:24:38,
10/17/2018,23:24:39,0,23:24:39,,23:24:39,,23:24:39,,23:24:39,,23:24:39,,23:24:39,,23:24:39,
10/17/2018,23:24:40,0,23:24:40,,23:24:40,,23:24:40,,23:24:40,,23:24:40,,23:24:40,,23:24:40,
10/17/2018,23:24:41,0,23:24:41,,23:24:41,,23:24:41,,23:24:41,,23:24:41,,23:24:41,,23:24:41,
10/17/2018,23:24:42,0,23:24:42,,23:24:42,,23:24:42,,23:24:42,,23:24:42,,23:24:42,,23:24:42,
10/17/2018,23:24:43,0,23:24:43,,23:24:43,,23:24:43,,23:24:43,,23:24:43,,23:24:43,,23:24:43,
10/17/2018,23:24:44,0,23:24:44,,23:24:44,,23:24:44,,23:24:44,,23:24:44,,23:24:44,,23:24:44,
10/17/2018,23:24:45,0.001,23:24:45,,23:24:45,,23:24:45,,23:24:45,,23:24:45,,23:24:45,,23:24:45,
10/17/2018,23:24:46,0,23:24:46,,23:24:46,,23:24:46,,23:24:46,,23:24:46,,23:24:46,,23:24:46,
10/17/2018,23:24:47,0,23:24:47,,23:24:47,,23:24:47,,23:24:47,,23:24:47,,23:24:47,,23:24:47,
10/17/2018,23:24:48,0,23:24:48,,23:24:48,,23:24:48,,23:24:48,,23:24:48,,23:24:48,,23:24:48,
10/17/2018,23:24:49,0,23:24:49,,23:24:49,,23:24:49,,23:24:49,,23:24:49,,23:24:49,,23:24:49,
10/17/2018,23:24:50,0,23:24:50,,23:24:50,,23:24:50,,23:24:50,,23:24:50,,23:24:50,,23:24:50,
10/17/2018,23:24:51,0,23:24:51,,23:24:51,,23:24:51,,23:24:51,,23:24:51,,23:24:51,,23:24:51,
10/17/2018,23:24:52,0,23:24:52,,23:24:52,,23:24:52,,23:24:52,,23:24:52,,23:24:52,,23:24:52,
10/17/2018,23:24:53,0,23:24:53,,23:24:53,,23:24:53,,23:24:53,,23:24:53,,23:24:53,,23:24:53,
10/17/2018,23:24:54,0.001,23:24:54,,23:24:54,,23:24:54,,23:24:54,,23:24:54,,23:24:54,,23:24:54,
10/17/2018,23:24:55,0.008,23:24:55,,23:24:55,,23:24:55,,23:24:55,,23:24:55,,23:24:55,,23:24:55,
10/17/2018,23:24:56,0.008,23:24:56,,23:24:56,,23:24:56,,23:24:56,,23:24:56,,23:24:56,,23:24:56,
10/17/2018,23:24:57,0,23:24:57,,23:24:57,,23:24:57,,23:24:57,,23:24:57,,23:24:57,,23:24:57,
10/17/2018,23:24:58,0,23:24:58,,23:24:58,,23:24:58,,23:24:58,,23:24:58,,23:24:58,,23:24:58,
10/17/2018,23:24:59,0,23:24:59,,23:24:59,,23:24:59,,23:24:59,,23:24:59,,23:24:59,,23:24:59,
10/17/2018,23:25:00,0,23:25:00,,23:25:00,,23:25:00,,23:25:00,,23:25:00,,23:25:00,,23:25:00,
10/17/2018,23:25:01,0,23:25:01,,23:25:01,,23:25:01,,23:25:01,,23:25:01,,23:25:01,,23:25:01,
10/17/2018,23:25:02,0,23:25:02,,23:25:02,,23:25:02,,23:25:02,,23:25:02,,23:25:02,,23:25:02,
10/17/2018,23:25:03,0,23:25:03,,23:25:03,,23:25:03,,23:25:03,,23:25:03,,23:25:03,,23:25:03,
10/17/2018,23:25:04,0,23:25:04,,23:25:04,,23:25:04,,23:25:04,,23:25:04,,23:25:04,,23:25:04,
10/17/2018,23:25:05,0,23:25:05,,23:25:05,,23:25:05,,23:25:05,,23:25:05,,23:25:05,,23:25:05,
10/17/2018,23:25:06,0.001,23:25:06,,23:25:06,,23:25:06,,23:25:06,,23:25:06,,23:25:06,,23:25:06,
10/17/2018,23:25:07,0,23:25:07,,23:25:07,,23:25:07,,23:25:07,,23:25:07,,23:25:07,,23:25:07,
10/17/2018,23:25:08,0.001,23:25:08,,23:25:08,,23:25:08,,23:25:08,,23:25:08,,23:25:08,,23:25:08,
10/17/2018,23:25:09,0,23:25:09,,23:25:09,,23:25:09,,23:25:09,,23:25:09,,23:25:09,,23:25:09,
10/17/2018,23:25:10,0,23:25:10,,23:25:10,,23:25:10,,23:25:10,,23:25:10,,23:25:10,,23:25:10,
10/17/2018,23:25:11,0.001,23:25:11,,23:25:11,,23:25:11,,23:25:11,,23:25:11,,23:25:11,,23:25:11,
10/17/2018,23:25:12,0,23:25:12,,23:25:12,,23:25:12,,23:25:12,,23:25:12,,23:25:12,,23:25:12,
10/17/2018,23:25:13,0,23:25:13,,23:25:13,,23:25:13,,23:25:13,,23:25:13,,23:25:13,,23:25:13,
10/17/2018,23:25:14,0,23:25:14,,23:25:14,,23:25:14,,23:25:14,,23:25:14,,23:25:14,,23:25:14,
10/17/2018,23:25:15,0.001,23:25:15,,23:25:15,,23:25:15,,23:25:15,,23:25:15,,23:25:15,,23:25:15,
10/17/2018,23:25:16,0.002,23:25:16,,23:25:16,,23:25:16,,23:25:16,,23:25:16,,23:25:16,,23:25:16,
10/17/2018,23:25:17,0,23:25:17,,23:25:17,,23:25:17,,23:25:17,,23:25:17,,23:25:17,,23:25:17,
10/17/2018,23:25:18,0.001,23:25:18,,23:25:18,,23:25:18,,23:25:18,,23:25:18,,23:25:18,,23:25:18,
10/17/2018,23:25:19,0.005,23:25:19,,23:25:19,,23:25:19,,23:25:19,,23:25:19,,23:25:19,,23:25:19,
10/17/2018,23:25:20,0.001,23:25:20,,23:25:20,,23:25:20,,23:25:20,,23:25:20,,23:25:20,,23:25:20,
10/17/2018,23:25:21,0,23:25:21,,23:25:21,,23:25:21,,23:25:21,,23:25:21,,23:25:21,,23:25:21,
10/17/2018,23:25:22,0,23:25:22,,23:25:22,,23:25:22,,23:25:22,,23:25:22,,23:25:22,,23:25:22,
10/17/2018,23:25:23,0.001,23:25:23,,23:25:23,,23:25:23,,23:25:23,,23:25:23,,23:25:23,,23:25:23,
10/17/2018,23:25:24,0.002,23:25:24,,23:25:24,,23:25:24,,23:25:24,,23:25:24,,23:25:24,,23:25:24,
10/17/2018,23:25:25,0,23:25:25,,23:25:25,,23:25:25,,23:25:25,,23:25:25,,23:25:25,,23:25:25,
10/17/2018,23:25:26,0,23:25:26,,23:25:26,,23:25:26,,23:25:26,,23:25:26,,23:25:26,,23:25:26,
10/17/2018,23:25:27,0.002,23:25:27,,23:25:27,,23:25:27,,23:25:27,,23:25:27,,23:25:27,,23:25:27,
10/17/2018,23:25:28,0,23:25:28,,23:25:28,,23:25:28,,23:25:28,,23:25:28,,23:25:28,,23:25:28,
10/17/2018,23:25:29,0,23:25:29,,23:25:29,,23:25:29,,23:25:29,,23:25:29,,23:25:29,,23:25:29,
10/17/2018,23:25:30,0,23:25:30,,23:25:30,,23:25:30,,23:25:30,,23:25:30,,23:25:30,,23:25:30,
10/17/2018,23:25:31,0,23:25:31,,23:25:31,,23:25:31,,23:25:31,,23:25:31,,23:25:31,,23:25:31,
10/17/2018,23:25:32,0,23:25:32,,23:25:32,,23:25:32,,23:25:32,,23:25:32,,23:25:32,,23:25:32,
