CDT_time,bar_fence,dir_0_2m_init,dir_1_5m_init,dir_3m_init,dir_4_5m_init,dir_6m_init,dir_10m_init,bar_fence_1,dir_0_2m_rel,dir_1_5m_rel,dir_3m_rel,dir_4_5m_rel,dir_6m_rel,dir_10m_rel,bar_fence_2,dir_0_2m_uconv,dir_1_5m_uconv,dir_3m_uconv,dir_4_5m_uconv,dir_6m_uconv,dir_10m_uconv,bar_fence_3,dir_0_2m_lconv,dir_1_5m_lconv,dir_3m_lconv,dir_4_5m_lconv,dir_6m_lconv,dir_10m_lconv
18:02:30,|,36.47328186,214.7336884,217.7063446,217.3697205,217.8897705,220.8544769,|,29.03826714,215.1925201,217.3783112,217.0715332,216.0580902,220.9231262,|,26.54688835,214.4716034,214.9503174,207.0848999,211.8437958,216.146225,|,49.47064209,226.245636,220.9654388,220.1962128,220.3415985,219.8497925
18:07:30,|,28.08605957,199.3199463,203.5567627,203.6237183,206.0054016,211.2182922,|,14.493577,202.2359161,203.9066315,204.2901459,201.8919678,208.469986,|,28.3973217,207.6157074,208.300766,202.7915192,207.1413879,208.2038574,|,42.55471039,211.2844696,204.7519684,202.7372894,204.1332397,206.2950134
18:12:30,|,43.96926117,221.5939331,223.5918121,222.569519,222.3887482,226.4842682,|,32.45568466,213.8865814,215.907486,215.1633911,213.2072906,219.8601837,|,27.13764763,211.6557617,215.1012115,211.1848907,218.2619476,219.0060425,|,34.53989792,223.2479858,215.6226654,214.6011658,216.17276,216.0170746
18:17:30,|,52.037323,233.1858673,233.4987946,231.3362732,229.8538208,229.9844055,|,51.28857422,222.8708954,221.467514,219.8085785,218.3241272,225.8171539,|,51.80235291,232.5410461,228.3058624,222.0444031,225.6747437,224.9181061,|,73.91275787,238.0696564,233.3078308,232.047821,231.2701263,232.708252
18:22:30,|,86.71958923,261.4570313,258.0267029,255.4598236,252.7036438,251.3617706,|,87.01686096,254.1821594,248.8167267,243.2329865,241.9620361,245.1175385,|,66.02968597,249.9814301,244.6410522,237.6170349,242.4448853,238.8177032,|,64.34980011,236.6683502,230.8986053,231.2261963,231.7050323,231.9319
18:27:30,|,68.21196747,248.2380219,249.3780975,248.1399078,246.1664581,246.189743,|,89.85224915,262.0023193,259.0206909,254.3079987,253.0095367,253.8965149,|,84.1554184,267.1323547,261.8720398,257.3461914,261.3226318,258.2762756,|,83.89621735,259.9367676,255.6145477,253.6371918,250.0975494,245.1962891
18:32:30,|,54.29843521,226.4363708,224.7731476,222.5234222,221.047348,219.7221375,|,52.11384964,226.7588196,227.1414948,226.2891388,223.8375549,228.1213379,|,49.8283844,235.947525,233.6662903,227.111908,230.5706177,227.6731567,|,83.84837341,245.1255493,236.8048553,234.9538574,233.443634,229.0447388
18:37:30,|,64.06214905,240.3580017,239.2872009,236.8248138,235.7864227,235.4735107,|,53.67163086,227.0901489,225.9728546,223.0545654,219.9507751,228.6101074,|,37.04420471,223.2040863,221.8832397,215.6500854,220.8647766,221.9411926,|,44.52162552,223.7669525,220.8105469,221.3547211,221.5339508,226.1744843
18:42:30,|,51.27625275,229.3870392,229.3670654,227.5899811,227.7310944,226.8061676,|,54.63630295,230.4557037,229.5698547,226.0527802,222.4069824,226.6269379,|,34.37224197,215.6883392,215.875412,211.4589844,215.0657349,216.5208435,|,37.89388657,218.2487183,216.9637299,216.9470367,217.5628815,219.5092621
18:47:30,|,42.44882584,217.3647614,215.9102936,214.2626648,214.7572021,215.6422119,|,31.49447632,211.8574524,212.6177368,210.8813477,208.2335052,214.0149994,|,35.8444519,218.4901123,218.8752289,215.2053375,218.352951,217.678772,|,62.11159134,234.848114,232.0056152,232.1099701,230.8902435,229.4611359
18:52:30,|,39.19544601,215.5160522,215.4039154,213.5890961,214.4215698,216.6920776,|,34.51408005,214.1401215,213.3842468,211.0248718,207.6963196,213.7262268,|,18.33300209,200.9884033,204.4558563,201.2545776,204.6772308,205.2745361,|,29.32432938,210.7804413,208.265274,207.047226,207.6039734,210.4287872
18:57:30,|,50.40099335,227.583252,226.3827209,224.5095825,223.9727783,225.9820557,|,44.6681633,222.6435089,221.9950562,220.0256958,217.6329956,222.8605652,|,34.02148819,215.7682343,217.3914948,213.2641602,215.9902039,215.4603271,|,49.65857315,222.0673065,221.489624,221.0952301,220.9474792,221.0691528
19:02:30,|,59.55244064,237.2687073,236.0490265,234.2258759,233.3600159,232.8132782,|,66.40781403,237.502243,236.9085693,234.0997772,231.9819336,235.5140839,|,50.52542496,237.2189636,233.7646637,227.1802521,231.16922,229.8598328,|,72.48370361,242.3743591,238.1836243,238.2799377,236.3591614,232.4030304
19:07:30,|,81.75688171,257.4408569,254.3558807,251.3226013,249.0352936,248.8317871,|,82.62612915,254.062088,251.1045685,245.3330841,242.5971832,244.3988647,|,66.79785156,252.2232361,247.2702942,240.7301636,245.0279694,239.4320831,|,87.12832642,254.681015,251.4116516,251.4491882,249.3237,246.5159454
19:12:30,|,74.7099762,252.1106415,250.3343964,249.047287,247.3386078,245.7827606,|,71.47583008,247.3902588,241.3217621,242.664505,240.8878479,245.5699615,|,62.52309418,248.9376068,246.3827362,241.8012543,245.114975,243.8986511,|,80.80504608,248.3710632,247.2880859,248.6468201,247.5615845,247.3249969
19:17:30,|,77.28373718,254.0677185,251.9395294,249.9417877,248.8269196,249.4764099,|,75.19441986,253.3904877,252.160614,248.084671,245.8891144,248.562851,|,65.74858093,251.7315063,249.9638824,246.3740997,249.0300598,246.3388519,|,90.1854248,261.8359375,259.4993896,259.1251526,256.5846558,253.644928
19:22:30,|,83.2650528,261.5682068,260.9244385,258.9912415,257.6280823,256.4755554,|,81.00047302,260.3788757,258.0849609,253.6101227,252.4432678,253.7267609,|,68.78813934,256.0960999,252.59198,247.8879089,251.7671509,249.2455902,|,84.97047424,253.709549,252.9939117,253.2465668,251.6398468,250.7159119
19:27:30,|,50.50037766,226.7010651,226.4702301,225.7502594,226.2534943,230.8220825,|,65.45001984,238.2357635,237.1311493,234.6447449,231.6523895,235.5650177,|,56.77090073,248.9540405,246.4895172,240.7337646,244.166275,241.3944702,|,84.67106628,258.6271667,254.5265808,254.5246735,252.556015,252.117569
19:32:30,|,45.24329758,215.7724915,215.1060181,214.0829468,216.0744324,219.2677765,|,1.16245532,192.0819397,192.7228699,193.4003296,190.0906525,199.3944244,|,10.09345436,194.0312653,200.1018677,196.5261993,202.7197571,206.7175598,|,41.41228867,221.605835,221.7266846,223.2077942,224.0892944,225.6956329
19:37:30,|,57.70270538,233.1309357,232.2409058,231.8020172,231.1436615,232.1768646,|,57.01280975,232.0596924,234.5140839,230.9937134,227.9736328,232.6396332,|,41.64663315,226.8758545,226.8806152,221.7696381,225.1615753,222.9252625,|,57.82669067,228.575943,224.5932617,223.4291382,223.8567047,228.254776
19:42:30,|,37.14745712,218.5009766,217.9392548,215.5553589,214.735199,217.0988312,|,56.87699509,229.2261353,229.9044952,227.3764648,224.6121521,229.1086884,|,46.95661163,234.26297,235.2599335,230.5644073,235.1771545,233.6649323,|,65.32459259,234.944519,228.2602234,225.9215546,224.327301,219.5262604
19:47:30,|,103.507515,251.8942108,240.7752991,233.423584,228.5315552,223.9131012,|,66.04963684,226.1688232,220.1922913,214.2325897,210.5686035,213.4700623,|,57.86553192,236.2125244,230.7287445,219.8764801,222.098114,219.8627777,|,74.73132324,237.3128204,215.2777405,210.3695831,211.3832245,207.6399078
19:52:30,|,80.85540771,259.1080933,257.5007629,254.9412384,252.7515717,250.8110809,|,84.14777374,263.0128174,261.1454468,255.2200165,253.2821655,252.7072754,|,70.87845612,255.7658386,252.3024139,247.6452484,250.0090637,247.6276245,|,89.33042908,258.9094849,256.0930786,256.3059692,253.952179,251.6499329
