CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
18:02:30,|,273.647191823,NaN,0.002082379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:07:30,|,273.632165849,NaN,0.000643347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:12:30,|,273.659942806,NaN,0.001630386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:17:30,|,273.644641638,NaN,0.001106505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:22:30,|,273.664963603,NaN,0.0009404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:27:30,|,273.666572809,NaN,0.000768488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:32:30,|,273.669017851,NaN,0.001458796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:37:30,|,273.654978514,NaN,0.000642375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:42:30,|,273.659864545,NaN,0.000588256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:47:30,|,273.654795349,NaN,0.00128528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:52:30,|,273.647473872,NaN,0.000591156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:57:30,|,273.587463975,NaN,0.001825621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:02:30,|,273.571135223,NaN,0.001172769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:07:30,|,273.580281079,NaN,0.000980271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:12:30,|,273.548006654,NaN,0.000534219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:17:30,|,273.533527315,NaN,0.001041307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:22:30,|,273.503920615,NaN,0.000403924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:27:30,|,273.481443673,NaN,0.00141275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:32:30,|,273.439542055,NaN,0.000815895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:37:30,|,273.438679457,NaN,0.000736964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:42:30,|,273.437264115,NaN,0.000268611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:47:30,|,273.430564761,NaN,0.001037073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:52:30,|,273.436567187,NaN,0.000527764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:57:30,|,273.394558936,NaN,0.001037694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:02:30,|,273.37764588,NaN,0.001554864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:07:30,|,273.352154791,NaN,8.41e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:12:30,|,273.328453511,NaN,0.000787736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:17:30,|,273.34965682,NaN,-5.63e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:22:30,|,273.380295098,NaN,-1.85e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:27:30,|,273.391196162,NaN,7.07e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:32:30,|,273.363696903,NaN,0.000214102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:37:30,|,273.335579515,NaN,0.000905286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:42:30,|,273.325885475,NaN,6.87e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:47:30,|,273.417051136,NaN,-1.39e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:52:30,|,273.409952819,NaN,-0.000248428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:57:30,|,273.425768882,NaN,-0.001310441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:02:30,|,273.415133446,NaN,-0.000198797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:07:30,|,273.380670667,NaN,0.001694751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:12:30,|,273.322353899,NaN,0.000205447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:17:30,|,273.327511847,NaN,-0.000402394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:22:30,|,273.374292225,NaN,-0.000170694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:27:30,|,273.388243169,NaN,0.000525676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:32:30,|,273.359340966,NaN,0.000694142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:37:30,|,273.330339164,NaN,-2.8e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:42:30,|,273.359816283,NaN,0.00018901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:47:30,|,273.32476151,NaN,0.000225326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:52:30,|,273.326086074,NaN,0.000116549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:57:30,|,273.316130638,NaN,-0.0005698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:02:30,|,273.326713026,NaN,6.68e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:07:30,|,273.342602998,NaN,0.000203311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:12:30,|,273.276919216,NaN,0.002326162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:17:30,|,273.24595201,NaN,-0.000392656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:22:30,|,273.208813533,NaN,0.000327729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:27:30,|,273.22510913,NaN,-0.00140417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:32:30,|,273.214561805,NaN,0.000459717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:37:30,|,273.240982816,NaN,0.000200338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:42:30,|,273.239583343,NaN,8.89e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:47:30,|,273.202975065,NaN,0.000164335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:52:30,|,273.128752708,NaN,0.000262578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22:57:30,|,273.129384115,NaN,0.001098583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:02:30,|,273.125015929,NaN,0.000695578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:07:30,|,273.125208482,NaN,0.001532971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:12:30,|,273.072220549,NaN,0.001523525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:17:30,|,273.058777045,NaN,0.000690752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:22:30,|,273.080576144,NaN,0.001300623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
