CDT_time,bar_fence,RH_0_2m_init,RH_1_5m_init,RH_4_5m_init,RH_10m_init,bar_fence_1,RH_0_2m_rel,RH_1_5m_rel,RH_4_5m_rel,RH_8_5m_rel,RH_15m_rel,RH_20m_rel,bar_fence_2,RH_0_2m_uconv,RH_1_5m_uconv,RH_4_5m_uconv,RH_10m_uconv,bar_fence_3,RH_0_2m_lconv,RH_1_5m_lconv,RH_4_5m_lconv,RH_8_5m_lconv,RH_15m_lconv,RH_20m_lconv,bar_fence_4,P_1_5m_rel,P_20m_rel,P_1_5m_lconv,P_20m_lconv
18:02:30,|,87.1241989135742,84.3610763549805,87.2369995117188,85.2728652954102,|,86.576301574707,85.9646987915039,84.0974197387695,NaN,87.0230331420898,NaN,|,88.6550827026367,86.4701309204102,84.3185272216797,84.7833709716797,|,0,0,0,0,0,0,|,991.444458007813,989.351196289063,0,0
18:07:30,|,87.0708084106445,84.5541152954102,87.411018371582,85.5914077758789,|,86.431640625,85.8235321044922,84.2310409545898,NaN,87.3122482299805,NaN,|,88.2279434204102,85.9760589599609,83.9857940673828,84.5397262573242,|,0,0,0,0,0,0,|,991.469970703125,989.37841796875,0,0
18:12:30,|,87.3868255615234,84.9244995117188,87.783332824707,85.8108749389648,|,86.6770248413086,86.3121795654297,84.7693939208984,NaN,87.8219757080078,NaN,|,88.1979522705078,86.0028610229492,83.9142074584961,84.6864013671875,|,0,0,0,0,0,0,|,991.49560546875,989.400939941406,0,0
18:17:30,|,87.9592590332031,85.4989318847656,88.3692321777344,86.58154296875,|,86.8218002319336,86.4057922363281,84.7039566040039,NaN,87.8020477294922,NaN,|,88.631950378418,86.5212173461914,84.7805709838867,85.5530319213867,|,0,0,0,0,0,0,|,991.512023925781,989.414916992188,0,0
18:22:30,|,87.5459365844727,84.9949798583984,88.0970001220703,86.0641632080078,|,86.9977264404297,86.3745803833008,84.7593994140625,NaN,87.8669509887695,NaN,|,88.4450531005859,86.366569519043,84.2524871826172,84.8791275024414,|,0,0,0,0,0,0,|,991.567443847656,989.471618652344,0,0
18:27:30,|,87.2932205200195,84.6189270019531,87.7806015014648,85.8510055541992,|,87.1886596679688,86.4627532958984,84.9246673583984,NaN,87.9948501586914,NaN,|,88.1820831298828,86.1033630371094,84.031379699707,84.7388916015625,|,0,0,0,0,0,0,|,991.542846679688,989.447875976563,0,0
18:32:30,|,87.8092269897461,85.3599014282227,88.3543167114258,86.4708023071289,|,87.7100677490234,87.0984191894531,85.412109375,NaN,88.7137908935547,NaN,|,88.6815185546875,86.4739761352539,84.643196105957,85.4090576171875,|,0,0,0,0,0,0,|,991.625183105469,989.530334472656,0,0
18:37:30,|,87.6485900878906,85.303581237793,88.5506362915039,86.6701049804688,|,88.3343658447266,87.8355712890625,86.2940292358398,NaN,89.4395294189453,NaN,|,89.0026321411133,86.9715194702148,85.283332824707,86.0256195068359,|,0,0,0,0,0,0,|,991.721435546875,989.626037597656,0,0
18:42:30,|,88.1486587524414,85.6681900024414,88.8503799438477,86.9919128417969,|,87.8758850097656,87.6864318847656,86.1274490356445,NaN,89.3730850219727,NaN,|,89.1422882080078,87.1295318603516,85.3974075317383,86.0836029052734,|,0,0,0,0,0,0,|,991.696105957031,989.598083496094,0,0
18:47:30,|,88.2719116210938,85.9032135009766,89.0227813720703,87.2204360961914,|,88.1081237792969,87.8293304443359,86.3120574951172,NaN,89.6591262817383,NaN,|,89.3515472412109,87.2417831420898,85.5584182739258,86.4520568847656,|,0,0,0,0,0,0,|,991.701904296875,989.604248046875,0,0
18:52:30,|,88.2024078369141,85.8622817993164,88.9803695678711,87.1157073974609,|,88.2455215454102,87.9206390380859,86.2043609619141,NaN,89.2757339477539,NaN,|,89.2026596069336,87.1314849853516,85.4088897705078,86.2031326293945,|,0,0,0,0,0,0,|,991.694274902344,989.596618652344,0,0
