CDT_time,bar_fence,dir_0_2m_init,dir_1_5m_init,dir_3m_init,dir_4_5m_init,dir_6m_init,dir_10m_init,bar_fence_1,dir_0_2m_rel,dir_1_5m_rel,dir_3m_rel,dir_4_5m_rel,dir_6m_rel,dir_10m_rel,bar_fence_2,dir_0_2m_uconv,dir_1_5m_uconv,dir_3m_uconv,dir_4_5m_uconv,dir_6m_uconv,dir_10m_uconv,bar_fence_3,dir_0_2m_lconv,dir_1_5m_lconv,dir_3m_lconv,dir_4_5m_lconv,dir_6m_lconv,dir_10m_lconv,bar_fence_4,dir_8_5m_rel,dir_8_5m_lconv,dir_15m_rel,dir_15m_lconv,dir_20m_rel,dir_20m_lconv,,I,R,U,L
19:02:30,|,81.7829361,310.6082153,328.0794373,340.4979858,347.0197144,354.7663574,|,105.2979279,295.359436,319.1381836,335.4950562,341.228302,0.485050976,|,127.8104935,319.7985535,313.7791443,321.2706299,343.1887207,355.6147461,|,105.7911072,288.3293457,294.0084534,295.71521,307.6011658,341.604187,|,352.4119873,326.275238,0.525870264,354.7351685,3.834055901,1.935554504,,0,0,0,0
19:07:30,|,94.1554718,312.4400024,337.7541809,345.5357666,348.1557922,352.6578064,|,102.191185,270.5339661,283.6151123,305.3898315,317.3389587,346.168457,|,132.1401215,280.032196,291.6251221,305.770874,329.1120911,341.2857361,|,132.0278625,256.3162231,267.0020752,279.2087097,288.0469971,327.8267517,|,332.7193909,310.3939209,355.7770081,347.9667969,2.433548212,355.6070862,,0,0,0,0
19:12:30,|,90.29373932,294.1719971,317.6220093,331.5212708,338.0340271,347.1124573,|,107.8228531,267.4571533,283.3824768,301.6620178,309.2707825,333.9841614,|,159.4233093,300.216156,284.874115,287.1824036,308.2500305,323.3293457,|,125.7832489,294.9493103,264.6893921,261.5195923,278.4693909,308.3625488,|,323.04422,295.7605286,347.3351135,337.7380066,355.9072266,350.8075562,,0,0,0,1
19:17:30,|,76.14037323,288.3508911,315.7402649,332.1374512,339.8383179,349.5509033,|,138.554184,269.8652039,274.6948547,303.1390991,316.3200073,348.3565674,|,157.21492,318.2157898,289.1203613,288.6916809,315.9185791,335.8421631,|,140.674118,257.6579285,250.8374481,267.6659851,281.8920898,318.4506836,|,334.0970459,298.8566284,355.2978516,347.0032654,0.970968723,356.7767944,,0,0,0,0
19:22:30,|,86.98188019,276.9562073,303.019928,312.1743774,321.547821,338.6422729,|,129.7895508,267.777771,265.963562,276.82547,289.5669861,323.7846069,|,107.7512894,294.6091919,281.3716736,279.1669312,294.4567871,321.4703979,|,139.460907,268.9203796,249.7358856,258.0585938,271.1555786,318.8528137,|,307.740448,295.2137451,346.5764771,347.3009644,356.8666382,356.2813416,,0,0,0,0
19:27:30,|,73.5549469,248.3014679,281.4983826,306.6739502,327.2279663,346.5036926,|,114.4464493,264.423645,268.5655212,280.3666077,294.4627686,324.2489624,|,262.5817871,265.665741,272.729187,274.5404053,290.0925293,308.8409424,|,133.0726624,261.0465698,252.7733154,258.2461243,271.2217712,288.7814331,|,311.5551453,279.5619202,348.4304199,319.1311646,356.6804504,342.6578064,,0,0,1,1
19:32:30,|,89.13053131,255.2935638,277.3020325,292.0517578,304.0002136,326.7111511,|,118.0791473,279.5365906,265.6607056,274.4247742,287.8251038,329.8853149,|,128.961441,310.8568115,287.0889587,279.0421753,296.0582581,313.9317322,|,138.0356903,266.2843018,259.2399902,264.8309937,272.5587463,296.5655212,|,309.9181213,286.1387634,347.5267334,329.627594,356.7823792,347.8289185,,0,0,0,1
19:37:30,|,91.31991577,272.873291,296.4157104,311.5767212,319.0992737,336.5401917,|,119.4101257,270.6452942,261.371582,270.7297974,281.9849854,308.9227295,|,97.83351135,298.0232849,286.4468384,269.4812927,282.1446838,293.7548828,|,134.4726105,295.9318848,281.790863,259.9076233,265.107666,294.8622742,|,298.0636292,287.1558533,332.0795288,325.611145,352.6203613,347.8872681,,0,0,0,1
19:42:30,|,103.04599,273.5567627,322.9209595,324.1123657,327.5126343,343.1547546,|,141.991333,282.4707947,276.7438354,292.4893188,310.4598694,347.4516602,|,59.71828461,322.9000549,311.8493652,281.3544312,295.2142944,324.5518494,|,137.0625153,304.6154785,323.1557617,305.8973083,285.9310913,309.3936462,|,330.7605896,298.8220215,1.688742399,338.0531311,8.473201752,2.169238329,,0,0,1,0
19:47:30,|,101.7677078,248.1695404,296.2347107,322.1721802,327.2365417,347.7160645,|,103.6874847,274.2677917,287.1131287,305.5834656,311.4978027,338.6139526,|,107.6498566,320.5487366,312.7046204,293.2323303,300.7168884,319.2034302,|,134.4756927,283.7102356,300.6033936,304.7127991,296.6338806,318.0588074,|,323.164032,300.9795227,358.5567627,356.9729919,6.511942387,6.849834442,,0,0,0,0
