,,DT6,,,DT7,,,DT8,,,DT2,,,DT3,,,DT10,,,DT9,,,DT5,
10/18/2018,2:07:30,1.56,2.845576667,2:07:30,4.23,4.280766667,2:07:30,1.98,2.405386667,2:07:30,2.989,2.858323333,2:07:30,4.413,4.28943,2:07:30,3.06,4.8504,23:54:32,0,0,2:07:30,0.008,0.008896667
10/18/2018,2:12:30,5.09,1.795103333,2:12:30,6.34,1.194426667,2:12:30,3.07,3.66454,2:12:30,1.822,2.1243,2:12:30,5.64,5.314576667,2:12:30,5.18,5.119033333,23:54:32,0,0,2:12:30,0.007,0.008206667
10/18/2018,2:17:30,0.174,2.802326667,2:17:30,0.043,9.42896,2:17:30,0.659,5.138026667,2:17:30,1.571,1.765183333,2:17:30,4.426,4.211463333,2:17:30,2.79,3.6436,23:54:32,0,0,2:17:30,0.009,0.00824
10/18/2018,2:22:30,0.119,0.681916667,2:22:30,0.11,0.13089,2:22:30,9.07,20.02261333,2:22:30,9.275,10.22749667,2:22:30,2.491,2.498106667,2:22:30,2.83,4.799766667,23:54:32,0,0,2:22:30,0.008,0.008183333
10/18/2018,2:27:30,23.8,11.48991667,2:27:30,34.1,92.95359,2:27:30,1.46,21.67323333,2:27:30,10.55,14.00272333,2:27:30,8.402,6.918986667,2:27:30,11.3,12.98236667,23:54:32,0,0,2:27:30,0.007,0.008086667
10/18/2018,2:32:30,65,24.49895,2:32:30,177,188.5758833,2:32:30,10.1,18.67556667,2:32:30,32.09,28.12023333,2:32:30,4.104,4.51741,2:32:30,5.3,5.194666667,23:54:32,0,0,2:32:30,0.007,0.008443333
10/18/2018,2:37:30,43.1,5.79994,2:37:30,200,12.29536,2:37:30,47.7,18.5465,2:37:30,8.689,10.30307,2:37:30,2.016,2.54474,2:37:30,10.2,7.546733333,23:54:32,0,0,2:37:30,0.007,0.007096667
10/18/2018,2:42:30,0.206,5.123506667,2:42:30,5.66,20.72671333,2:42:30,30.5,3.79442,2:42:30,18.24,12.26504,2:42:30,5.395,4.46719,2:42:30,12.8,9.507866667,23:54:32,0,0,2:42:30,0.007,0.007423333
10/18/2018,2:47:30,0.006,15.32481333,2:47:30,0.013,5.004236667,2:47:30,0.42,3.870656667,2:47:30,9.959,7.952976667,2:47:30,4.071,4.678026667,2:47:30,0.518,1.98529,23:54:32,0,0,2:47:30,0.008,0.007816667
10/18/2018,2:52:30,0.58,24.93088,2:52:30,68.4,33.49878,2:52:30,4.37,4.1105,2:52:30,4.708,4.82928,2:52:30,0.601,0.788473333,2:52:30,2.05,2.511973333,23:54:32,0,0,2:52:30,0.007,0.007843333
10/18/2018,2:57:30,6.59,6.900893333,2:57:30,2.32,9.815396667,2:57:30,8.78,10.14996667,2:57:30,4.077,5.229436667,2:57:30,4.328,4.165423333,2:57:30,6.94,7.0899,23:54:32,0,0,2:57:30,0.007,0.00766
10/18/2018,3:02:30,0.002,0.00212,3:02:30,0.01,0.011066667,3:02:30,3.05,4.243106667,3:02:30,3.485,4.617353333,3:02:30,6.71,6.809136667,3:02:30,5.7,5.868266667,23:54:32,0,0,3:02:30,0.008,0.009493333
10/18/2018,3:07:30,31.1,8.945816667,3:07:30,62.6,45.57982667,3:07:30,2.03,2.924776667,3:07:30,3.54,3.608683333,3:07:30,7.328,6.696503333,3:07:30,2.89,3.225933333,23:54:32,0,0,3:07:30,0.008,0.008626667
10/18/2018,3:12:30,9.23,8.241656667,3:12:30,0.079,6.259453333,3:12:30,16.6,10.33178333,3:12:30,6.436,6.24502,3:12:30,3.843,3.85334,3:12:30,3.35,3.767866667,23:54:32,0,0,3:12:30,0.009,0.009486667
10/18/2018,3:17:30,10.4,14.14916667,3:17:30,0.228,1.93146,3:17:30,4.51,5.73412,3:17:30,7.819,5.986706667,3:17:30,4.893,5.311833333,3:17:30,8.33,8.379833333,23:54:32,0,0,3:17:30,0.01,0.00909
10/18/2018,3:22:30,7.16,17.43666333,3:22:30,46.7,15.2655,3:22:30,6.13,11.39486667,3:22:30,2.129,2.32324,3:22:30,5.32,4.97129,3:22:30,4.5,4.577533333,23:54:32,0,0,3:22:30,0.008,0.0086
10/18/2018,3:27:30,0.133,1.72158,3:27:30,0.01,0.07433,3:27:30,2.19,5.759956667,3:27:30,5.164,4.130526667,3:27:30,2.566,3.262516667,3:27:30,5.64,4.972766667,23:54:32,0,0,3:27:30,0.009,0.00965
10/18/2018,3:32:30,1.58,8.050366667,3:32:30,14.1,32.60764333,3:32:30,18.1,11.02074,3:32:30,6.418,4.971083333,3:32:30,7.597,6.12756,3:32:30,2.8,3.483933333,23:54:32,0,0,3:32:30,0.011,0.009836667
10/18/2018,3:37:30,0.615,6.20543,3:37:30,0.011,5.43454,3:37:30,7.51,5.808456667,3:37:30,2.27,3.171676667,3:37:30,5.316,5.81157,3:37:30,6.25,5.966833333,23:54:32,0,0,3:37:30,0.01,0.010503333
10/18/2018,3:42:30,8.1,19.71336667,3:42:30,5.29,2.896386667,3:42:30,1.96,2.50162,3:42:30,7.692,7.58042,3:42:30,6.068,5.549676667,3:42:30,4.89,5.086666667,23:54:32,0,0,3:42:30,0.011,0.011193333
10/18/2018,3:47:30,4.14,6.79197,3:47:30,8.98,20.87595333,3:47:30,13.4,7.997333333,3:47:30,7.517,6.74334,3:47:30,4.663,4.507806667,3:47:30,4.85,4.7175,23:54:32,0,0,3:47:30,0.011,0.0113
10/18/2018,3:52:30,0.769,4.38723,3:52:30,0.048,0.948253333,3:52:30,27.5,14.92901333,3:52:30,3.861,4.490293333,3:52:30,4.152,4.705096667,3:52:30,7.76,6.389333333,23:54:32,0,0,3:52:30,0.013,0.012713333
10/18/2018,3:57:30,0.003,0.0036,3:57:30,0.017,0.01264,3:57:30,2.3,3.826713333,3:57:30,50.98,21.34899667,3:57:30,5.54,5.874803333,3:57:30,4.76,5.139766667,23:54:32,0,0,3:57:30,0.015,0.014256667
10/18/2018,4:02:30,6.64,15.13477,4:02:30,4.59,34.00585667,4:02:30,0.887,1.44532,4:02:30,4.518,4.664263333,4:02:30,5.101,5.732046667,4:02:30,2.64,3.99492,23:54:32,0,0,4:02:30,0.014,0.01324
10/18/2018,4:07:30,7.59,3.98296,4:07:30,0.147,42.66875667,4:07:30,0.407,9.69951,4:07:30,7.612,6.566083333,4:07:30,4.7,4.708923333,4:07:30,3.8,4.0533,23:54:32,0,0,4:07:30,0.017,0.014033333
10/18/2018,4:12:30,9.4,2.415896667,4:12:30,27.6,18.03791333,4:12:30,5.27,7.101513333,4:12:30,2.013,4.736606667,4:12:30,3.956,3.977736667,4:12:30,4.46,4.692866667,23:54:32,0,0,4:12:30,0.015,0.013223333
10/18/2018,4:17:30,0.126,4.415083333,4:17:30,0.527,14.7446,4:17:30,1.09,1.763786667,4:17:30,2.462,3.50354,4:17:30,4.008,4.000953333,4:17:30,4.03,5.2269,23:54:32,0,0,4:17:30,0.011,0.01265
10/18/2018,4:22:30,0.011,0.076276667,4:22:30,0.013,1.382223333,4:22:30,2.74,14.244,4:22:30,5.041,3.593533333,4:22:30,6.222,5.6175,4:22:30,5.47,5.423733333,23:54:32,0,0,4:22:30,0.013,0.01399
10/18/2018,4:27:30,0.006,5.22139,4:27:30,0.014,0.037773333,4:27:30,0.312,2.42854,4:27:30,9.91,8.329823333,4:27:30,2.022,2.61376,4:27:30,11.2,10.02683333,23:54:32,0,0,4:27:30,0.012,0.01401
10/18/2018,4:32:30,0.092,4.43563,4:32:30,244,92.86955667,4:32:30,6.72,6.998466667,4:32:30,2.67,3.882583333,4:32:30,3.624,4.10752,4:32:30,1.26,2.30922,23:54:32,0,0,4:32:30,0.014,0.013456667
10/18/2018,4:37:30,0.026,3.057833333,4:37:30,0.011,13.50269,4:37:30,3.01,1.88115,4:37:30,5.299,4.525683333,4:37:30,1.941,2.142733333,4:37:30,2.97,3.9669,23:54:32,0,0,4:37:30,0.019,0.01769
10/18/2018,4:42:30,0.158,1.883073333,4:42:30,85.7,120.30404,4:42:30,2.35,1.437896667,4:42:30,10.87,8.41509,4:42:30,3.215,3.245486667,4:42:30,1.21,3.423153333,23:54:32,0,0,4:42:30,0.011,0.014236667
10/18/2018,4:47:30,0.299,2.389976667,4:47:30,1.35,89.31568333,4:47:30,36.4,22.43913667,4:47:30,7.412,6.653723333,4:47:30,3.41,3.71308,4:47:30,5.49,5.474733333,23:54:32,0,0,4:47:30,0.017,0.015996667
10/18/2018,4:52:30,0.023,1.17642,4:52:30,0.015,0.015896667,4:52:30,4,3.2072,4:52:30,0.328,0.639993333,4:52:30,8.119,7.685333333,4:52:30,7.12,5.980933333,23:54:32,0,0,4:52:30,0.02,0.019316667
10/18/2018,4:57:30,11.8,7.02322,4:57:30,0.034,3.537446667,4:57:30,1.33,1.003826667,4:57:30,2.041,2.237013333,4:57:30,5.794,5.69938,4:57:30,3.74,3.975166667,23:54:32,0,0,4:57:30,0.019,0.020466667
10/18/2018,5:02:30,0.143,4.58131,5:02:30,0.018,0.02036,5:02:30,4.78,5.30448,5:02:30,7.674,7.10787,5:02:30,3.467,3.64233,5:02:30,3.28,3.932633333,23:54:32,0,0,5:02:30,0.024,0.023223333
