CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
18:02:30,|,1.96752584,4.224442482,4.391246319,5.176229954,5.598585129,5.125732899,|,1.784486651,NaN,3.441917419,4.505764484,5.018783569,5.812302589,|,2.488213301,4.234783173,NaN,5.884449959,5.284295559,6.406045914,|,1.287605882,2.998006105,3.240892172,4.646463871,4.584173203,5.198723316,|,5.148024559,5.495984077,5.980062962,5.059933662,6.039721489,4.516303062,,0,0,0,0
18:07:30,|,2.392719984,5.146457195,4.659575939,6.48085165,6.595243931,6.129776955,|,1.842283368,NaN,3.704221964,4.775684357,5.129782677,5.374714375,|,2.493366718,4.966314316,4.722389221,6.210281372,5.141156673,6.908083916,|,1.193979979,3.676549196,4.247439861,5.361587048,5.757108688,6.431567192,|,5.207406521,6.523281574,5.938526154,7.310462475,6.150481224,7.08763504,,0,0,0,0
18:12:30,|,1.810423374,3.977474928,4.387639523,4.878009319,5.012514114,4.117750645,|,1.916990042,NaN,4.20924139,5.059171677,5.660503864,5.625779629,|,1.806032062,3.414884806,5.30637455,4.41135931,4.653347492,5.21289444,|,1.005246639,3.345069647,3.856971502,4.275293827,4.689255714,5.048835278,|,5.395843029,5.001960754,6.20319891,5.312075138,6.317043304,7.166685581,,0,0,0,1
18:17:30,|,1.74350667,3.87326932,4.309933662,4.826389313,4.924160004,4.229374886,|,1.810469985,NaN,3.872977495,4.852813721,4.684945107,5.39312458,|,1.999123335,4.586948872,4.995370865,4.847865582,4.523900986,5.96690321,|,0.962356687,3.507042885,4.085281372,4.404076576,4.717321396,5.019072056,|,5.101582527,5.043194771,5.874069214,5.225383282,5.963320732,5.304249287,,0,0,0,0
18:22:30,|,1.526006699,3.333539009,3.690700531,4.142307281,4.423164845,3.834301949,|,1.50505662,NaN,3.261651993,3.821854591,3.804747581,4.444885254,|,1.631860018,2.023838997,1.481992364,3.79349184,3.648226023,4.28674078,|,0.852259994,2.95639348,3.423226357,3.821284056,4.155198574,4.431379318,|,4.13451767,4.41974926,4.858886242,4.83144331,4.996973991,4.8618536,,0,0,0,1
18:27:30,|,1.385471821,3.009057999,3.339431286,3.690021276,4.004348278,3.144267321,|,1.507125735,NaN,3.201191187,3.916574955,4.375972271,4.340272427,|,1.584013343,2.570353746,1.439104319,3.613431215,3.069463491,4.400116444,|,0.652186692,2.476440191,2.931770086,3.194797039,3.504725933,3.665189266,|,4.137867451,3.672671556,4.580940247,4.169726849,4.759164333,4.171094894,,0,0,0,0
18:32:30,|,1.395323277,3.083439827,3.233832359,3.826322079,4.18663311,3.885004759,|,1.448846698,1.71148324,2.859165668,3.55092907,3.174273491,4.249275208,|,1.505253315,2.798877001,1.969224215,3.115475893,3.274004936,4.14122057,|,0.702827632,2.154508591,2.317133665,2.730945349,3.085450172,3.263216496,|,3.764782667,3.3056705,4.325852394,3.58661294,4.569719315,3.403038502,,0,0,0,0
18:37:30,|,1.210800052,2.613873005,2.709514141,3.247268438,3.569837332,2.98765564,|,1.308490038,NaN,2.938055038,3.771173477,3.546934366,4.234769344,|,1.638032675,NaN,2.00458169,NaN,2.72824645,4.257655621,|,0.723933339,2.250594139,2.892900467,3.283909559,3.541007519,3.834888697,|,3.687660456,3.750035048,4.416302681,3.932647228,4.523423672,3.38411355,,0,0,0,0
18:42:30,|,1.128793359,2.40989995,2.409092188,2.962992191,3.192510843,2.166059256,|,1.481080055,NaN,3.269694328,3.113553286,4.004294395,4.346320152,|,1.39552331,NaN,1.691653728,3.019773245,2.195854187,3.546851635,|,0.594326675,2.192812204,2.381489754,2.934826851,3.28023982,3.50611043,|,4.095508575,3.460185051,4.695706367,3.890543699,4.836698532,2.530680418,,0,0,0,0
18:47:30,|,1.319990039,2.857284069,2.85761714,3.569540739,3.900820255,4.312028885,|,1.206099987,NaN,2.533802509,2.988823652,3.431380033,3.793322325,|,1.314466715,NaN,NaN,NaN,2.794701815,3.939327955,|,0.722630024,2.426028252,2.42973876,3.112584352,3.542060375,3.687602043,|,3.529848576,3.747201443,4.174667835,4.098007202,4.442651272,3.866814137,,1,0,0,0
18:52:30,|,1.206165433,2.599574089,2.818469763,3.241256237,3.52247858,3.898373604,|,1.155088305,1.411603093,2.53139019,3.217616796,3.363557577,3.766695023,|,1.293470025,NaN,1.543314338,NaN,2.958141327,3.653498411,|,0.684666693,2.356380701,2.892459393,2.826716423,3.213606834,3.522185087,|,3.519797564,3.461129665,4.040090084,3.997376919,4.109694958,4.268264771,,1,1,0,0
18:57:30,|,0.958383322,2.008138418,2.301207542,2.510040522,2.783240557,3.209649801,|,0.926616669,1.720406532,2.169583559,2.590224504,2.747396708,2.990804434,|,1.08864665,NaN,1.800455451,NaN,2.479441404,2.756617069,|,0.583364427,2.005368233,1.967567086,2.524012327,2.949576378,3.176859379,|,2.786589146,3.187429428,3.17803669,3.624526262,3.28189373,3.751596451,,1,1,0,0
19:02:30,|,0.942203343,2.113515139,2.311163664,2.578052282,2.814185381,3.153455973,|,1.191176653,2.058465958,2.705975533,3.123115063,2.505482674,3.655449867,|,1.285528541,NaN,2.073985577,NaN,2.65260911,3.230926991,|,0.659623325,2.156588316,2.433032513,2.865483522,3.22707653,3.58219409,|,3.380452633,3.482085228,3.953153133,3.937458754,4.096102715,4.424814224,,1,0,0,1
19:07:30,|,1.0881567,2.391795874,2.61043644,2.881177187,3.155189276,3.515066385,|,1.100303292,1.811666369,2.400041819,2.984723806,2.806407213,3.276862144,|,1.213973284,NaN,2.358215332,NaN,2.802937269,3.240980625,|,0.578639984,1.988055229,2.267650604,2.498873949,2.831635714,3.112360954,|,3.088754892,3.069860458,3.531096935,3.450357676,3.759262323,3.833118916,,1,0,0,1
19:12:30,|,1.391403794,3.11267662,3.522949219,3.821309566,4.16983366,4.579631329,|,1.051116705,1.861426592,2.285484552,2.768039703,2.723057747,3.303496361,|,1.598389983,NaN,3.153279543,5.169316292,3.968032837,4.561060429,|,0.818769991,2.605071306,2.896737576,3.080945969,3.445534706,3.528588295,|,3.051203728,3.597104311,3.667128086,3.842782974,4.029063702,4.080005169,,1,0,0,0
