CDT_time,bar_fence,T_0_2m_init,T_1_5m_init,T_4_5m_init,T_10m_init,T_15m_init,T_20m_init,bar_fence_1,T_0_2m_rel,T_1_5m_rel,T_4_5m_rel,T_8_5m_rel,T_15m_rel,T_20m_rel,bar_fence_2,T_0_2m_uconv,T_1_5m_uconv,T_4_5m_uconv,T_10m_uconv,T_15m_uconv,T_20m_uconv,bar_fence_3,T_0_2m_lconv,T_1_5m_lconv,T_4_5m_lconv,T_8_5m_lconv,T_15m_lconv,T_20m_lconv
18:02:30,|,1.82066893577576,2.30999994277954,2.30986571311951,1.85959732532501,0,0,|,1.96013379096985,2.02248311042786,1.8920134305954,1.96595323085785,1.84046983718872,1.81986582279205,|,2.03040266036987,2.00308728218079,1.93489933013916,2.11906051635742,0,0,|,1.98571908473969,2.00528430938721,2.05503344535828,1.9918121099472,1.89563751220703,1.9784848690033
18:07:30,|,1.82013428211212,2.3094630241394,2.30531764030457,1.86000001430511,0,0,|,1.95892977714539,2.00342273712158,1.8877180814743,1.93248319625854,1.80369126796722,1.81328868865967,|,2.02986574172974,1.99986529350281,1.91696965694427,2.10498309135437,0,0,|,1.96418058872223,1.98040270805359,2.02842807769775,1.94362413883209,1.88438129425049,1.93888890743256
18:12:30,|,1.81983280181885,2.30652165412903,2.30342268943787,1.85570466518402,0,0,|,1.95946669578552,2.00409388542175,1.88825500011444,1.95565223693848,1.81093955039978,1.81959736347198,|,2.03013467788696,1.99932885169983,1.9080536365509,2.10295295715332,0,0,|,1.96190643310547,1.98000001907349,2.00228190422058,1.92550337314606,1.87926173210144,1.93107378482819
18:17:30,|,1.81782615184784,2.29528427124023,2.299565076828,1.84100341796875,0,0,|,1.95050168037415,1.99510061740875,1.88248324394226,1.91712379455566,1.7914764881134,1.7883220911026,|,2.02838921546936,1.99797976016998,1.9036363363266,2.10013461112976,0,0,|,1.94493341445923,1.98000001907349,1.9931104183197,1.92963206768036,1.88046979904175,1.92999994754791
18:22:30,|,1.81916117668152,2.28003334999084,2.29255032539368,1.8404027223587,0,0,|,1.93979930877686,1.99013423919678,1.86610734462738,1.90066885948181,1.78999996185303,1.77771806716919,|,2.02355694770813,1.99718117713928,1.89999997615814,2.09852337837219,0,0,|,1.94371235370636,1.97919738292694,1.98832213878632,1.92617452144623,1.8454362154007,1.92946124076843
18:27:30,|,1.81665551662445,2.29421401023865,2.28825497627258,1.8400000333786,0,0,|,1.94916391372681,1.99053871631622,1.87429535388947,1.90214765071869,1.78999996185303,1.78619527816772,|,2.01375842094421,1.98040270805359,1.90026938915253,2.09340047836304,0,0,|,1.9343478679657,1.97906041145325,1.98414719104767,1.92523491382599,1.85040128231049,1.92919456958771
18:32:30,|,1.81832218170166,2.29060196876526,2.27267551422119,1.82671141624451,0,0,|,1.95186674594879,1.99000000953674,1.8693288564682,1.90387952327728,1.7902684211731,1.76375842094421,|,2.02824902534485,1.98680138587952,1.89986574649811,2.09798645973206,0,0,|,1.93906664848328,1.97719061374664,1.98040270805359,1.9221476316452,1.84812080860138,1.92932653427124
18:37:30,|,1.80963218212128,2.26879596710205,2.25134229660034,1.79999995231628,0,0,|,1.9527759552002,1.99026846885681,1.86543619632721,1.90254175662994,1.78999996185303,1.76241612434387,|,2.0242280960083,1.98442959785461,1.90026938915253,2.09744095802307,0,0,|,1.95882952213287,1.97973155975342,1.98255038261414,1.92361199855804,1.85295307636261,1.92959594726563
18:42:30,|,1.82000005245209,2.29140472412109,2.26705694198608,1.81234908103943,0,0,|,1.94862878322601,1.99000000953674,1.86812078952789,1.90214765071869,1.78986573219299,1.76939594745636,|,2.02825498580933,1.99393939971924,1.90080535411835,2.0993287563324,0,0,|,1.94812715053558,1.97973251342773,1.9814715385437,1.91999995708466,1.82892620563507,1.92407405376434
18:47:30,|,1.7997659444809,2.25595307350159,2.23738265037537,1.78805363178253,0,0,|,1.92655515670776,1.98489940166473,1.84248316287994,1.90040135383606,1.78624153137207,1.7523490190506,|,2.01805377006531,1.96805369853973,1.89973056316376,2.09205389022827,0,0,|,1.94879603385925,1.98000001907349,1.98026847839355,1.91999995708466,1.8244481086731,1.92275166511536
18:52:30,|,1.73494982719421,2.2151505947113,2.18799328804016,1.74602007865906,0,0,|,1.89886283874512,1.94328856468201,1.81107378005981,1.8759731054306,1.73429536819458,1.73060405254364,|,2.00198650360107,1.95973062515259,1.88356900215149,2.06684565544128,0,0,|,1.94277596473694,1.97395980358124,1.97799336910248,1.90899324417114,1.81147646903992,1.88595962524414
18:57:30,|,1.7144296169281,2.15869569778442,2.14798665046692,1.69865775108337,0,0,|,1.86773335933685,1.90973150730133,1.7640939950943,1.81986629962921,1.69657719135284,1.66335570812225,|,1.95644295215607,1.92765092849731,1.83355712890625,2.01730632781982,0,0,|,1.91439998149872,1.93986630439758,1.94738256931305,1.87825500965118,1.79724824428558,1.85188555717468
19:02:30,|,1.67501676082611,2.14973258972168,2.12337779998779,1.67302012443542,0,0,|,1.81792640686035,1.87781143188477,1.7328188419342,1.77050161361694,1.64643096923828,1.62738251686096,|,1.94006717205048,1.89252519607544,1.79912459850311,1.97060406208038,0,0,|,1.9099999666214,1.90107381343842,1.91030097007751,1.84789299964905,1.76476514339447,1.84395968914032
