CDT_time,bar_fence,dir_0_2m_init,dir_1_5m_init,dir_3m_init,dir_4_5m_init,dir_6m_init,dir_10m_init,bar_fence_1,dir_0_2m_rel,dir_1_5m_rel,dir_3m_rel,dir_4_5m_rel,dir_6m_rel,dir_10m_rel,bar_fence_2,dir_0_2m_uconv,dir_1_5m_uconv,dir_3m_uconv,dir_4_5m_uconv,dir_6m_uconv,dir_10m_uconv,bar_fence_3,dir_0_2m_lconv,dir_1_5m_lconv,dir_3m_lconv,dir_4_5m_lconv,dir_6m_lconv,dir_10m_lconv,bar_fence_4,dir_8_5m_rel,dir_8_5m_lconv,dir_15m_rel,dir_15m_lconv,dir_20m_rel,dir_20m_lconv
18:02:30,|,43.7435417175293,215.72607421875,212.276168823242,213.80354309082,213.577728271484,213.242370605469,|,10.5029296875,NaN,210.154190063477,200.599334716797,198.01203918457,194.082229614258,|,14.4861335754395,213.145889282227,NaN,192.914764404297,224.067001342773,196.815536499023,|,347.785064697266,196.061828613281,186.392425537109,186.904602050781,194.10302734375,187.741928100586,|,199.747406005859,186.421035766602,199.585784912109,185.223037719727,201.096817016602,186.333084106445
18:07:30,|,61.3244323730469,232.912734985352,229.929061889648,229.683700561523,224.632659912109,229.749435424805,|,45.3301277160645,NaN,223.736740112305,223.417572021484,217.332214355469,224.388519287109,|,36.2962684631348,234.769927978516,225.445785522461,216.711090087891,233.66618347168,217.23371887207,|,59.9740753173828,224.216003417969,224.518157958984,223.457656860352,224.078308105469,221.220809936523,|,227.81135559082,220.429733276367,225.137664794922,224.029525756836,225.432388305664,214.526473999023
18:12:30,|,52.467170715332,226.031280517578,228.705780029297,223.946319580078,220.270462036133,227.168441772461,|,42.7568855285645,NaN,226.94450378418,221.714462280273,219.525604248047,222.035873413086,|,41.279972076416,225.530639648438,219.408843994141,219.121994018555,221.367950439453,214.631332397461,|,64.5298919677734,224.011947631836,223.837799072266,227.639923095703,225.894287109375,224.189865112305,|,225.599227905273,223.297225952148,224.106002807617,226.969879150391,225.478912353516,215.894805908203
18:17:30,|,56.7100868225098,229.136871337891,229.918045043945,226.892852783203,224.30500793457,229.468032836914,|,49.0632133483887,NaN,230.534164428711,225.474639892578,223.624130249023,227.421646118164,|,42.9034233093262,235.825317382813,237.248962402344,221.135284423828,225.329849243164,222.064971923828,|,52.7035675048828,220.620315551758,229.315689086914,224.644515991211,224.530334472656,224.166625976563,|,229.37353515625,222.84733581543,226.316741943359,226.816696166992,226.8486328125,218.111221313477
18:22:30,|,40.0697364807129,215.01643371582,217.007781982422,213.414520263672,214.402099609375,212.803512573242,|,28.0685214996338,NaN,215.776580810547,211.573394775391,209.351623535156,212.495269775391,|,29.2057609558105,206.096755981445,193.401107788086,213.007995605469,214.199340820313,210.653579711914,|,48.5128707885742,218.183090209961,220.585571289063,220.415939331055,219.566909790039,218.459930419922,|,214.274597167969,217.312881469727,213.151840209961,220.867919921875,214.215316772461,211.795959472656
18:27:30,|,43.727409362793,215.849166870117,215.364990234375,211.558715820313,211.905487060547,207.834808349609,|,29.1060943603516,NaN,216.70231628418,211.795455932617,207.568649291992,209.593200683594,|,26.2608909606934,205.511657714844,164.075088500977,208.654678344727,206.981002807617,205.440994262695,|,46.5341529846191,216.695159912109,217.285797119141,218.897994995117,217.557586669922,214.668975830078,|,212.716873168945,214.503204345703,212.359039306641,217.989334106445,214.658874511719,211.653717041016
18:32:30,|,46.0696182250977,218.899078369141,219.12077331543,215.599716186523,215.205978393555,210.663772583008,|,34.1463050842285,208.244857788086,219.753540039063,213.336196899414,205.346969604492,213.318099975586,|,33.4242210388184,231.746887207031,227.499206542969,213.765762329102,218.798431396484,215.473968505859,|,62.8495864868164,226.286544799805,234.216110229492,227.844345092773,226.007934570313,223.5419921875,|,216.369201660156,223.286163330078,214.925796508789,222.898483276367,215.318603515625,215.350540161133
18:37:30,|,40.8403549194336,212.742721557617,212.766967773438,211.445327758789,211.895965576172,208.312561035156,|,25.0376815795898,NaN,207.729415893555,210.579376220703,205.236465454102,209.687789916992,|,14.0820035934448,NaN,199.413452148438,NaN,205.426834106445,205.520202636719,|,27.9996318817139,211.968688964844,213.858306884766,210.732788085938,210.858673095703,207.905349731445,|,211.663360595703,207.506301879883,209.313323974609,208.804809570313,210.794799804688,220.97883605957
18:42:30,|,38.8519325256348,211.581329345703,214.657440185547,210.519088745117,211.385391235352,211.320861816406,|,24.2958850860596,NaN,215.750549316406,214.119918823242,204.101806640625,209.649215698242,|,18.9870567321777,NaN,196.651428222656,197.066787719727,205.497695922852,204.345779418945,|,25.9722919464111,205.695922851563,206.456558227539,206.375335693359,207.608291625977,207.25309753418,|,209.917846679688,206.26628112793,210.466903686523,211.447479248047,210.801345825195,209.487838745117
18:47:30,|,41.0487327575684,215.622665405273,221.621994018555,213.499282836914,215.095596313477,216.37907409668,|,34.0140075683594,NaN,221.24462890625,224.938552856445,214.013854980469,215.657241821289,|,31.8189392089844,NaN,NaN,NaN,223.270629882813,213.025726318359,|,56.6794929504395,222.353942871094,222.388580322266,223.931365966797,222.402465820313,221.526657104492,|,217.708770751953,220.444351196289,215.690841674805,221.473663330078,217.26823425293,220.93180847168
18:52:30,|,54.2519493103027,226.339981079102,223.508850097656,223.952194213867,222.935684204102,222.190444946289,|,36.0763130187988,216.380874633789,223.568313598633,216.492401123047,214.218978881836,216.88005065918,|,34.1953887939453,NaN,215.842681884766,NaN,219.794692993164,216.110641479492,|,59.9444122314453,221.500686645508,220.302551269531,221.063125610352,219.818069458008,218.991317749023,|,218.615859985352,218.412933349609,217.586227416992,221.269836425781,219.132019042969,217.755004882813
18:57:30,|,40.4213523864746,213.581558227539,217.23583984375,213.745880126953,214.607650756836,214.853790283203,|,26.5798053741455,210.795806884766,215.525100708008,211.973342895508,208.863739013672,209.973815917969,|,26.8627300262451,NaN,203.419143676758,NaN,209.553451538086,210.825637817383,|,34.4770584106445,212.656326293945,214.422073364258,216.376495361328,215.625030517578,213.160797119141,|,213.881195068359,214.077133178711,210.738357543945,215.817398071289,211.65901184082,211.006057739258
