,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
10/29/2018,17:36:16,,17:36:16,,17:36:16,0,17:36:16,0.058,17:36:16,,17:36:16,,17:36:16,,17:36:16,0.011
10/29/2018,17:36:17,,17:36:17,,17:36:17,0,17:36:17,0.014,17:36:17,,17:36:17,,17:36:17,,17:36:17,0.012
10/29/2018,17:36:18,,17:36:18,,17:36:18,0,17:36:18,0.031,17:36:18,,17:36:18,,17:36:18,,17:36:18,0.013
10/29/2018,17:36:19,,17:36:19,,17:36:19,0,17:36:19,0.03,17:36:19,,17:36:19,,17:36:19,,17:36:19,0.012
10/29/2018,17:36:20,,17:36:20,,17:36:20,0,17:36:20,0.027,17:36:20,,17:36:20,,17:36:20,,17:36:20,0.012
10/29/2018,17:36:21,,17:36:21,,17:36:21,0,17:36:21,0.046,17:36:21,,17:36:21,,17:36:21,,17:36:21,0.014
10/29/2018,17:36:22,,17:36:22,,17:36:22,0,17:36:22,0.038,17:36:22,,17:36:22,,17:36:22,,17:36:22,0.012
10/29/2018,17:36:23,,17:36:23,,17:36:23,0.041,17:36:23,0.02,17:36:23,,17:36:23,,17:36:23,,17:36:23,0.013
10/29/2018,17:36:24,,17:36:24,,17:36:24,0.151,17:36:24,0.066,17:36:24,,17:36:24,,17:36:24,,17:36:24,0.013
10/29/2018,17:36:25,,17:36:25,,17:36:25,0.159,17:36:25,0.095,17:36:25,,17:36:25,,17:36:25,,17:36:25,0.012
10/29/2018,17:36:26,,17:36:26,,17:36:26,0.09,17:36:26,0.032,17:36:26,,17:36:26,,17:36:26,,17:36:26,0.012
10/29/2018,17:36:27,,17:36:27,,17:36:27,0.01,17:36:27,0.014,17:36:27,,17:36:27,,17:36:27,,17:36:27,0.01
10/29/2018,17:36:28,,17:36:28,,17:36:28,0.018,17:36:28,0.074,17:36:28,,17:36:28,,17:36:28,,17:36:28,0.011
10/29/2018,17:36:29,,17:36:29,,17:36:29,0.026,17:36:29,0.033,17:36:29,,17:36:29,,17:36:29,,17:36:29,0.011
10/29/2018,17:36:30,,17:36:30,,17:36:30,0.056,17:36:30,0.02,17:36:30,,17:36:30,,17:36:30,,17:36:30,0.013
10/29/2018,17:36:31,,17:36:31,,17:36:31,0.074,17:36:31,0.15,17:36:31,,17:36:31,,17:36:31,,17:36:31,0.013
10/29/2018,17:36:32,,17:36:32,,17:36:32,0.024,17:36:32,0.011,17:36:32,,17:36:32,,17:36:32,,17:36:32,0.013
10/29/2018,17:36:33,,17:36:33,,17:36:33,0.021,17:36:33,0.02,17:36:33,,17:36:33,,17:36:33,,17:36:33,0.012
10/29/2018,17:36:34,,17:36:34,,17:36:34,0.074,17:36:34,0.022,17:36:34,,17:36:34,,17:36:34,,17:36:34,0.011
10/29/2018,17:36:35,,17:36:35,,17:36:35,0.1,17:36:35,0.043,17:36:35,,17:36:35,,17:36:35,,17:36:35,0.011
10/29/2018,17:36:36,,17:36:36,,17:36:36,0.022,17:36:36,0.019,17:36:36,,17:36:36,,17:36:36,,17:36:36,0.013
10/29/2018,17:36:37,,17:36:37,,17:36:37,0.02,17:36:37,0.036,17:36:37,,17:36:37,,17:36:37,,17:36:37,0.012
10/29/2018,17:36:38,,17:36:38,,17:36:38,0.022,17:36:38,0.07,17:36:38,,17:36:38,,17:36:38,,17:36:38,0.013
10/29/2018,17:36:39,,17:36:39,,17:36:39,0.019,17:36:39,0.057,17:36:39,,17:36:39,,17:36:39,,17:36:39,0.014
10/29/2018,17:36:40,,17:36:40,,17:36:40,0.025,17:36:40,0.051,17:36:40,,17:36:40,,17:36:40,,17:36:40,0.011
10/29/2018,17:36:41,,17:36:41,,17:36:41,0.026,17:36:41,0.072,17:36:41,,17:36:41,,17:36:41,,17:36:41,0.011
10/29/2018,17:36:42,,17:36:42,,17:36:42,0.021,17:36:42,0.018,17:36:42,,17:36:42,,17:36:42,,17:36:42,0.01
10/29/2018,17:36:43,,17:36:43,,17:36:43,0.023,17:36:43,0.03,17:36:43,,17:36:43,,17:36:43,,17:36:43,0.011
10/29/2018,17:36:44,,17:36:44,,17:36:44,0.028,17:36:44,0.025,17:36:44,,17:36:44,,17:36:44,,17:36:44,0.012
10/29/2018,17:36:45,,17:36:45,,17:36:45,0.028,17:36:45,0.034,17:36:45,,17:36:45,,17:36:45,,17:36:45,0.012
10/29/2018,17:36:46,,17:36:46,,17:36:46,0.027,17:36:46,0.038,17:36:46,,17:36:46,,17:36:46,,17:36:46,0.012
10/29/2018,17:36:47,,17:36:47,,17:36:47,0.031,17:36:47,0.017,17:36:47,,17:36:47,,17:36:47,,17:36:47,0.011
10/29/2018,17:36:48,,17:36:48,,17:36:48,0.036,17:36:48,0.064,17:36:48,,17:36:48,,17:36:48,,17:36:48,0.014
10/29/2018,17:36:49,,17:36:49,,17:36:49,0.037,17:36:49,0.033,17:36:49,,17:36:49,,17:36:49,,17:36:49,0.012
10/29/2018,17:36:50,,17:36:50,,17:36:50,0.034,17:36:50,0.021,17:36:50,,17:36:50,,17:36:50,,17:36:50,0.013
10/29/2018,17:36:51,,17:36:51,,17:36:51,0.047,17:36:51,0.027,17:36:51,,17:36:51,,17:36:51,,17:36:51,0.014
10/29/2018,17:36:52,,17:36:52,,17:36:52,0.055,17:36:52,0.031,17:36:52,,17:36:52,,17:36:52,,17:36:52,0.011
10/29/2018,17:36:53,,17:36:53,,17:36:53,0.044,17:36:53,0.038,17:36:53,,17:36:53,,17:36:53,,17:36:53,0.011
10/29/2018,17:36:54,,17:36:54,,17:36:54,0.049,17:36:54,0.024,17:36:54,,17:36:54,,17:36:54,,17:36:54,0.012
10/29/2018,17:36:55,,17:36:55,,17:36:55,0.052,17:36:55,0.022,17:36:55,,17:36:55,,17:36:55,,17:36:55,0.013
10/29/2018,17:36:56,,17:36:56,,17:36:56,0.055,17:36:56,0.163,17:36:56,,17:36:56,,17:36:56,,17:36:56,0.011
10/29/2018,17:36:57,,17:36:57,,17:36:57,0.064,17:36:57,0.041,17:36:57,,17:36:57,,17:36:57,,17:36:57,0.011
10/29/2018,17:36:58,,17:36:58,,17:36:58,0.059,17:36:58,0.037,17:36:58,,17:36:58,,17:36:58,,17:36:58,0.012
10/29/2018,17:36:59,,17:36:59,,17:36:59,0.056,17:36:59,0.064,17:36:59,,17:36:59,,17:36:59,,17:36:59,0.012
10/29/2018,17:37:00,,17:37:00,,17:37:00,0.052,17:37:00,0.045,17:37:00,,17:37:00,,17:37:00,,17:37:00,0.01
10/29/2018,17:37:01,,17:37:01,,17:37:01,0.046,17:37:01,0.49,17:37:01,,17:37:01,,17:37:01,,17:37:01,0.013
10/29/2018,17:37:02,,17:37:02,,17:37:02,0.053,17:37:02,0.033,17:37:02,,17:37:02,,17:37:02,,17:37:02,0.01
10/29/2018,17:37:03,,17:37:03,,17:37:03,0.066,17:37:03,0.016,17:37:03,,17:37:03,,17:37:03,,17:37:03,0.011
10/29/2018,17:37:04,,17:37:04,,17:37:04,0.063,17:37:04,0.026,17:37:04,,17:37:04,,17:37:04,,17:37:04,0.012
10/29/2018,17:37:05,,17:37:05,,17:37:05,0.056,17:37:05,0.032,17:37:05,,17:37:05,,17:37:05,,17:37:05,0.018
10/29/2018,17:37:06,,17:37:06,,17:37:06,0.07,17:37:06,0.03,17:37:06,,17:37:06,,17:37:06,,17:37:06,0.019
10/29/2018,17:37:07,,17:37:07,,17:37:07,0.082,17:37:07,0.035,17:37:07,,17:37:07,,17:37:07,,17:37:07,0.012
10/29/2018,17:37:08,,17:37:08,,17:37:08,0.045,17:37:08,0.045,17:37:08,,17:37:08,,17:37:08,,17:37:08,0.013
10/29/2018,17:37:09,,17:37:09,,17:37:09,0.043,17:37:09,0.041,17:37:09,,17:37:09,,17:37:09,,17:37:09,0.013
10/29/2018,17:37:10,,17:37:10,,17:37:10,0.041,17:37:10,0.066,17:37:10,,17:37:10,,17:37:10,,17:37:10,0.013
10/29/2018,17:37:11,,17:37:11,,17:37:11,0.043,17:37:11,0.017,17:37:11,,17:37:11,,17:37:11,,17:37:11,0.013
10/29/2018,17:37:12,,17:37:12,,17:37:12,0.055,17:37:12,0.026,17:37:12,,17:37:12,,17:37:12,,17:37:12,0.011
10/29/2018,17:37:13,,17:37:13,,17:37:13,0.052,17:37:13,0.112,17:37:13,,17:37:13,,17:37:13,,17:37:13,0.012
10/29/2018,17:37:14,,17:37:14,,17:37:14,0.055,17:37:14,0.022,17:37:14,,17:37:14,,17:37:14,,17:37:14,0.013
10/29/2018,17:37:15,,17:37:15,,17:37:15,0.056,17:37:15,0.073,17:37:15,,17:37:15,,17:37:15,,17:37:15,0.012
10/29/2018,17:37:16,,17:37:16,,17:37:16,0.044,17:37:16,0.032,17:37:16,,17:37:16,,17:37:16,,17:37:16,0.011
10/29/2018,17:37:17,,17:37:17,,17:37:17,0.032,17:37:17,0.032,17:37:17,,17:37:17,,17:37:17,,17:37:17,0.012
10/29/2018,17:37:18,,17:37:18,,17:37:18,0.037,17:37:18,0.039,17:37:18,,17:37:18,,17:37:18,,17:37:18,0.011
10/29/2018,17:37:19,,17:37:19,,17:37:19,0.034,17:37:19,0.014,17:37:19,,17:37:19,,17:37:19,,17:37:19,0.011
10/29/2018,17:37:20,,17:37:20,,17:37:20,0.031,17:37:20,0.04,17:37:20,,17:37:20,,17:37:20,,17:37:20,0.012
10/29/2018,17:37:21,,17:37:21,,17:37:21,0.038,17:37:21,0.035,17:37:21,,17:37:21,,17:37:21,,17:37:21,0.011
10/29/2018,17:37:22,,17:37:22,,17:37:22,0.048,17:37:22,0.075,17:37:22,,17:37:22,,17:37:22,,17:37:22,0.011
10/29/2018,17:37:23,,17:37:23,,17:37:23,0.031,17:37:23,0.035,17:37:23,,17:37:23,,17:37:23,,17:37:23,0.011
10/29/2018,17:37:24,,17:37:24,,17:37:24,0.039,17:37:24,0.032,17:37:24,,17:37:24,,17:37:24,,17:37:24,0.011
10/29/2018,17:37:25,,17:37:25,,17:37:25,0.045,17:37:25,0.04,17:37:25,,17:37:25,,17:37:25,,17:37:25,0.012
10/29/2018,17:37:26,,17:37:26,,17:37:26,0.038,17:37:26,0.071,17:37:26,,17:37:26,,17:37:26,,17:37:26,0.012
