CDT_time,bar_fence,u_1_5m_uconv,u_3m_uconv,u_4_5m_uconv,u_6m_uconv,u_10m_uconv,bar_fence_1,u_1_5m_lconv,u_3m_lconv,u_4_5m_lconv,u_6m_lconv,u_8_5m_lconv,u_10m_lconv,u_15m_lconv,u_20m_lconv,bar_fence_2,v_1_5m_uconv,v_3m_uconv,v_4_5m_uconv,v_6m_uconv,v_10m_uconv,bar_fence_3,v_1_5m_lconv,v_3m_lconv,v_4_5m_lconv,v_6m_lconv,v_8_5m_lconv,v_10m_lconv,v_15m_lconv,v_20m_lconv,bar_fence_4,w_1_5m_uconv,w_3m_uconv,w_4_5m_uconv,w_6m_uconv,w_10m_uconv,bar_fence_5,w_1_5m_lconv,w_3m_lconv,w_4_5m_lconv,w_6m_lconv,w_8_5m_lconv,w_10m_lconv,w_15m_lconv,w_20m_lconv,bar_fence_6,tc_1_5m_uconv,tc_3m_uconv,tc_4_5m_uconv,tc_6m_uconv,tc_10m_uconv,bar_fence_7,tc_1_5m_lconv,tc_3m_lconv,tc_4_5m_lconv,tc_6m_lconv,tc_8_5m_lconv,tc_10m_lconv,tc_15m_lconv,tc_20m_lconv,bar_fence_8,w_tc__1_5m_uconv,w_tc__3m_uconv,w_tc__4_5m_uconv,w_tc__6m_uconv,w_tc__10m_uconv,bar_fence_9,w_tc__1_5m_lconv,w_tc__3m_lconv,w_tc__4_5m_lconv,w_tc__6m_lconv,w_tc__8_5m_lconv,w_tc__10m_lconv,w_tc__15m_lconv,w_tc__20m_lconv,bar_fence_10,u_w__1_5m_uconv,u_w__3m_uconv,u_w__4_5m_uconv,u_w__6m_uconv,u_w__10m_uconv,bar_fence_11,u_w__1_5m_lconv,u_w__3m_lconv,u_w__4_5m_lconv,u_w__6m_lconv,u_w__8_5m_lconv,u_w__10m_lconv,u_w__15m_lconv,u_w__20m_lconv,bar_fence_12,v_w__1_5m_uconv,v_w__3m_uconv,v_w__4_5m_uconv,v_w__6m_uconv,v_w__10m_uconv,bar_fence_13,v_w__1_5m_lconv,v_w__3m_lconv,v_w__4_5m_lconv,v_w__6m_lconv,v_w__8_5m_lconv,v_w__10m_lconv,v_w__15m_lconv,v_w__20m_lconv
12:07:30,|,0.400955945253372,0.843873679637909,1.05253779888153,1.42477214336395,1.83714914321899,|,1.25073862075806,1.41512334346771,1.75017511844635,1.93494474887848,2.0194685459137,2.20801091194153,2.71211743354797,2.90689754486084,|,1.31645560264587,1.6746826171875,2.40618491172791,2.97428321838379,3.87680554389954,|,0.797003984451294,1.52783346176147,2.22368741035461,2.76367473602295,3.33634901046753,3.5679669380188,3.95511341094971,4.36230182647705,|,-0.277655243873596,-0.40937140583992,-0.42246076464653,-0.434828460216522,-0.331946045160294,|,-0.26027575135231,-0.29084101319313,-0.293983906507492,-0.462216228246689,-0.311357259750366,-0.443895131349564,-0.32198765873909,-0.614220499992371,|,31.1078147888184,31.0923843383789,30.3783321380615,30.5073146820068,29.7924003601074,|,30.3539791107178,29.8675537109375,28.4850616455078,29.6470203399658,29.0379867553711,29.1377811431885,28.4588279724121,29.1727275848389,|,0.0737979561090469,0.108227290213108,0.144348502159119,0.201507717370987,0.254383623600006,|,0.0859767347574234,0.12628960609436,0.192186862230301,0.234304830431938,0.226360961794853,0.240273460745811,0.242241278290749,0.207685530185699,|,-0.173612534999847,-0.198069542646408,-0.230617687106133,-0.236849039793015,-0.333529084920883,|,-0.0372134186327457,-0.0926986709237099,-0.179939463734627,-0.225716263055801,-0.261107206344604,-0.29180771112442,-0.377756625413895,-0.386273264884949,|,-0.239987313747406,-0.237557083368301,-0.346102207899094,-0.338081330060959,-0.405243724584579,|,-0.293007761240005,-0.378981202840805,-0.481278836727142,-0.558105826377869,-0.508451342582703,-0.672061920166016,-0.663642883300781,-0.877767324447632
12:12:30,|,0.817188501358032,1.3240761756897,1.67683959007263,2.05233645439148,2.76380896568298,|,1.75603580474854,1.89900863170624,2.09578275680542,2.23076152801514,2.43128895759583,2.56752157211304,3.03716373443604,3.3418436050415,|,1.30873107910156,1.81935107707977,2.61993217468262,3.17262029647827,4.36282777786255,|,0.704422533512115,1.25008189678192,1.90157437324524,2.51088309288025,3.25924634933472,3.57332706451416,4.10422945022583,4.47583484649658,|,-0.283822983503342,-0.382548868656158,-0.407145500183105,-0.455902308225632,-0.382727593183517,|,-0.237022057175636,-0.196112722158432,-0.21967676281929,-0.296803534030914,-0.124949343502522,-0.136048942804337,-0.122462622821331,-0.437451273202896,|,31.5351219177246,31.5368633270264,30.7139987945557,30.8526573181152,30.1218128204346,|,31.2130680084229,30.6023101806641,29.2421398162842,30.3675174713135,29.6815090179443,29.7760829925537,28.9295043945313,29.5820503234863,|,0.118895828723907,0.188234210014343,0.249771222472191,0.31384152173996,0.370674252510071,|,0.0732869431376457,0.0824144259095192,0.107499778270721,0.163882657885551,0.207441374659538,0.251287341117859,0.247543007135391,0.265257179737091,|,-0.113109797239304,-0.269890248775482,-0.347918182611465,-0.493896961212158,-0.337111920118332,|,-0.0456378571689129,-0.0176182221621275,-0.0205757115036249,-0.0183299668133259,-0.0646965578198433,-0.155438393354416,-0.331911206245422,-0.339483857154846,|,-0.432181119918823,-0.62531042098999,-0.843362867832184,-0.926148474216461,-0.838735401630402,|,-0.214606285095215,-0.305435478687286,-0.363477200269699,-0.578547656536102,-0.535504698753357,-0.611215949058533,-0.605061411857605,-0.903900682926178
12:17:30,|,0.846492290496826,1.31984198093414,1.63395130634308,2.03598475456238,2.74242186546326,|,1.67184257507324,1.81863713264465,2.03764677047729,2.11357736587524,2.29430222511292,2.57963252067566,3.09442353248596,3.12186741828918,|,1.52232646942139,1.96941459178925,2.74988055229187,3.30594873428345,4.388671875,|,0.787703573703766,1.44358134269714,2.07167410850525,2.66899991035461,3.30800414085388,3.65722322463989,4.14761924743652,4.51965284347534,|,-0.352602660655975,-0.524208784103394,-0.491152942180634,-0.557718336582184,-0.488348424434662,|,-0.285790503025055,-0.31015932559967,-0.269613474607468,-0.368165612220764,-0.251102924346924,-0.274574190378189,-0.260280013084412,-0.637366950511932,|,31.5274181365967,31.4910507202148,30.7871265411377,30.9377670288086,30.1785850524902,|,31.211311340332,30.6335620880127,29.3292617797852,30.4987354278564,29.8473167419434,29.949686050415,29.1427841186523,29.7763385772705,|,0.178596585988998,0.24858695268631,0.284993022680283,0.307670503854752,0.308845669031143,|,0.120579808950424,0.17756786942482,0.233953148126602,0.278520345687866,0.300437927246094,0.324187934398651,0.196718633174896,0.21952973306179,|,-0.165434613823891,-0.189477905631065,-0.234605967998505,-0.424329906702042,-0.494716078042984,|,-0.0838830471038818,-0.219906613230705,-0.392120271921158,-0.445214420557022,-0.350047439336777,-0.321032255887985,-0.192777469754219,-0.215293899178505,|,-0.252045452594757,-0.457087129354477,-0.641319572925568,-0.539593696594238,-0.505333423614502,|,-0.286256492137909,-0.42688974738121,-0.533183574676514,-0.704355716705322,-0.627983689308167,-0.642300963401794,-0.422248601913452,-0.962583601474762
12:22:30,|,0.610589146614075,1.01669061183929,1.47089552879333,1.77631902694702,2.27360367774963,|,2.25791549682617,2.49447560310364,2.87705707550049,3.12756061553955,3.32354474067688,3.58173060417175,4.05443906784058,4.07843923568726,|,1.49352550506592,1.95731127262115,2.85898900032043,3.37721633911133,4.287428855896,|,0.723027348518372,1.42726361751556,2.12839722633362,2.72243618965149,3.53202247619629,3.82534217834473,4.26537036895752,4.57515335083008,|,-0.343717366456985,-0.457876235246658,-0.452767431735992,-0.482965439558029,-0.33279824256897,|,-0.219169959425926,-0.280316263437271,-0.329465210437775,-0.431483715772629,-0.290923297405243,-0.386495620012283,-0.37477844953537,-0.619484543800354,|,31.3003597259521,31.2873992919922,30.569860458374,30.7239837646484,30.0482902526855,|,30.6654224395752,30.1724109649658,28.8536472320557,30.0615043640137,29.4572315216064,29.5534839630127,28.8662853240967,29.5631122589111,|,0.0546048022806644,0.109827764332294,0.206780701875687,0.259655773639679,0.295236378908157,|,0.0257348045706749,0.060666911303997,0.107668504118919,0.134289726614952,0.179396331310272,0.177204474806786,0.183089047670364,0.164017602801323,|,-0.153774738311768,-0.304998576641083,-0.522548794746399,-0.489867240190506,-0.447374612092972,|,-0.146459192037582,-0.116876900196075,-0.219679638743401,-0.183126777410507,-0.277134299278259,-0.16956701874733,-0.249526098370552,-0.295160740613937,|,-0.477340847253799,-0.461762934923172,-0.603111922740936,-0.483270019292831,-0.584446430206299,|,-0.282556474208832,-0.421714067459106,-0.485051959753036,-0.618428945541382,-0.612312972545624,-0.762262642383575,-0.688140153884888,-0.836937069892883
12:27:30,|,1.0047402381897,1.43938827514648,1.86899554729462,2.25456213951111,2.85618877410889,|,1.69665133953094,1.68560039997101,1.84740197658539,2.00405216217041,2.10295796394348,2.25293707847595,2.6737973690033,2.80057978630066,|,1.02509462833405,1.5203982591629,2.21656727790833,2.71506953239441,3.55484056472778,|,0.686633884906769,1.09198808670044,1.43540811538696,1.78322637081146,2.42743325233459,2.62188768386841,3.17285132408142,3.50302910804749,|,-0.208030506968498,-0.389703661203384,-0.37445080280304,-0.469698667526245,-0.332758277654648,|,-0.220327034592628,-0.216508358716965,-0.180876523256302,-0.214096814393997,-0.0884417966008186,-0.118111722171307,-0.111339725553989,-0.27738031744957,|,30.7744693756104,30.8273258209229,30.2008743286133,30.3952465057373,29.8094959259033,|,30.4037246704102,29.9674053192139,28.7642993927002,29.9614562988281,29.450065612793,29.5667667388916,28.8694076538086,29.5009727478027,|,0.00709958933293819,0.080730214715004,0.106285221874714,0.120882704854012,0.121703624725342,|,-0.00592540763318539,0.0414304956793785,0.0521061792969704,0.0640730187296867,0.0927081480622292,0.10016692429781,0.0949409529566765,0.0606772638857365,|,-0.180514141917229,-0.280214071273804,-0.176858365535736,-0.255636721849442,-0.337290585041046,|,-0.0576748177409172,-0.0896989852190018,-0.141250863671303,-0.0931510180234909,-0.173245564103127,-0.182908475399017,-0.236466526985168,-0.197902888059616,|,-0.318649083375931,-0.361787676811218,-0.573105096817017,-0.472588688135147,-0.415520370006561,|,-0.146817520260811,-0.204469680786133,-0.183547392487526,-0.222083538770676,-0.251381605863571,-0.293779820203781,-0.311893790960312,-0.328184962272644
12:32:30,|,0.705597400665283,1.05199944972992,1.3307740688324,1.63428914546967,2.10823631286621,|,2.0891797542572,2.37158560752869,2.75542140007019,3.04759335517883,3.29532742500305,3.53080868721008,4.0390944480896,4.19722414016724,|,1.20986330509186,1.72000122070313,2.39250302314758,2.86894392967224,3.46729445457458,|,0.905309498310089,1.49181509017944,2.13998794555664,2.79101991653442,3.51966595649719,3.67311120033264,4.10341215133667,4.39095067977905,|,-0.329793691635132,-0.435618728399277,-0.385653734207153,-0.434390634298325,-0.281824231147766,|,-0.29449325799942,-0.259384214878082,-0.291506290435791,-0.387173235416412,-0.22903373837471,-0.29212099313736,-0.277798414230347,-0.453947603702545,|,31.3403625488281,31.3226680755615,30.6473159790039,30.7773494720459,30.1655673980713,|,30.5112972259521,29.9658584594727,28.6233577728271,29.8251934051514,29.1777095794678,29.3009452819824,28.6156902313232,29.3368053436279,|,0.0732928067445755,0.154608577489853,0.201010063290596,0.210078552365303,0.236792951822281,|,0.0409626848995686,0.0858862772583961,0.128535151481628,0.138492405414581,0.160299986600876,0.14829882979393,0.131418392062187,0.11884119361639,|,-0.0301155596971512,-0.196890354156494,-0.249458506703377,-0.273911446332932,-0.2248515188694,|,-0.0299052093178034,-0.10303869843483,-0.172231420874596,-0.15992534160614,-0.219081580638885,-0.150924190878868,-0.408368855714798,-0.479898005723953,|,-0.268606871366501,-0.279609143733978,-0.453744649887085,-0.481604427099228,-0.399367302656174,|,-0.330449014902115,-0.347387403249741,-0.392419666051865,-0.589054346084595,-0.443294018507004,-0.59930294752121,-0.529471457004547,-1.02306520938873
12:37:30,|,0.388628363609314,0.901585161685944,1.21628475189209,1.57504963874817,2.25830841064453,|,2.00008463859558,2.20745229721069,2.52766156196594,2.75193977355957,2.97256755828857,3.24662375450134,3.63769602775574,3.81079864501953,|,1.15883576869965,1.48011612892151,2.11979985237122,2.55624914169312,3.18006920814514,|,0.679253041744232,1.35467541217804,1.89349353313446,2.45036363601685,3.08128643035889,3.42929911613464,3.9110324382782,4.34699106216431,|,-0.20409332215786,-0.279963761568069,-0.269226342439651,-0.363028913736343,-0.221865504980087,|,-0.209602162241936,-0.272313266992569,-0.333067059516907,-0.442182093858719,-0.308992058038712,-0.359343141317368,-0.321159273386002,-0.637958526611328,|,31.9558963775635,31.9191856384277,31.143970489502,31.2754173278809,30.5378589630127,|,31.1261157989502,30.5616569519043,29.1580581665039,30.3698444366455,29.6866874694824,29.7749481201172,28.9867820739746,29.6524200439453,|,0.191538512706757,0.253131091594696,0.281816899776459,0.335648506879807,0.339802920818329,|,0.0955266058444977,0.119672976434231,0.160957679152489,0.221773520112038,0.222819343209267,0.202912643551826,0.15815281867981,0.13356976211071,|,-0.174158677458763,-0.239100500941277,-0.325102031230927,-0.485466748476028,-0.47377622127533,|,-0.178829461336136,-0.132623374462128,-0.165536686778069,-0.256745874881744,-0.27691662311554,-0.215243697166443,-0.217987984418869,-0.236845105886459,|,-0.336402952671051,-0.393397390842438,-0.532034933567047,-0.525232076644897,-0.499997198581696,|,-0.190659135580063,-0.270271748304367,-0.317822635173798,-0.473693370819092,-0.430603235960007,-0.39347630739212,-0.43787881731987,-0.714148342609406
12:42:30,|,0.291342616081238,0.696266829967499,1.09387826919556,1.43656444549561,1.88642084598541,|,1.76087975502014,1.96621561050415,2.27119207382202,2.45554399490356,2.61892557144165,2.91500973701477,3.43442893028259,3.72737646102905,|,1.36753845214844,1.9276123046875,2.74451279640198,3.21387815475464,4.2324914932251,|,0.623171627521515,1.36043095588684,2.04277515411377,2.62872624397278,3.28018498420715,3.63927435874939,4.19849109649658,4.68271780014038,|,-0.217383682727814,-0.303424954414368,-0.354643791913986,-0.414359152317047,-0.34477111697197,|,-0.214573666453362,-0.265558987855911,-0.252088397741318,-0.428579598665237,-0.292113661766052,-0.376691401004791,-0.230509847402573,-0.580404162406921,|,31.9661884307861,31.9288921356201,31.1550216674805,31.3247375488281,30.5256614685059,|,31.3251895904541,30.7384338378906,29.3623809814453,30.5395221710205,29.8405513763428,29.9188919067383,29.128044128418,29.8007621765137,|,0.157252937555313,0.174458593130112,0.251332014799118,0.318311095237732,0.288400650024414,|,0.0699142590165138,0.0948334112763405,0.144465878605843,0.18730004131794,0.184911608695984,0.193023800849915,0.173584774136543,0.16783344745636,|,-0.164830476045609,-0.273960798978806,-0.257791817188263,-0.37689271569252,-0.433814078569412,|,-0.0389131717383862,-0.0933926925063133,-0.144735649228096,-0.165649354457855,-0.227194115519524,-0.132828280329704,-0.151778236031532,-0.122405022382736,|,-0.278343051671982,-0.469251036643982,-0.686883091926575,-0.654647529125214,-0.550867438316345,|,-0.183429151773453,-0.334028601646423,-0.361390680074692,-0.463376015424728,-0.453539431095123,-0.411653339862823,-0.380392819643021,-0.637383282184601
12:47:30,|,1.2031637430191,1.66738963127136,2.1717095375061,2.70048999786377,3.32664227485657,|,2.29952335357666,2.44928193092346,2.80838918685913,3.06412124633789,3.24257683753967,3.47709655761719,4.01210784912109,4.15728282928467,|,1.34288001060486,1.79036867618561,2.64163064956665,3.08056735992432,3.9943687915802,|,0.881469130516052,1.59261584281921,2.28314137458801,2.87816047668457,3.52643227577209,3.80250597000122,4.36536073684692,4.75437545776367,|,-0.355962455272675,-0.477197289466858,-0.494696378707886,-0.576653063297272,-0.368297666311264,|,-0.261665105819702,-0.29871141910553,-0.308551698923111,-0.371325701475143,-0.249367848038673,-0.289475977420807,-0.293370723724365,-0.677110254764557,|,31.6409339904785,31.6920013427734,30.9979591369629,31.159049987793,30.506721496582,|,31.1939582824707,30.6919898986816,29.3508472442627,30.5576114654541,29.9594554901123,30.0675945281982,29.3367195129395,29.9850406646729,|,0.0924218893051147,0.144491747021675,0.185611501336098,0.187993213534355,0.171205550432205,|,0.0346180945634842,0.0533087030053139,0.0852308943867683,0.112880319356918,0.149512112140656,0.140133991837502,0.132158786058426,0.129065454006195,|,-0.234425812959671,-0.315681993961334,-0.457547098398209,-0.526866555213928,-0.438489317893982,|,-0.136552438139915,-0.0522754192352295,-0.125572010874748,-0.139591380953789,-0.332767009735107,-0.295874506235123,-0.279219895601273,-0.240745544433594,|,-0.441012173891068,-0.541983306407928,-0.660802841186523,-0.60106486082077,-0.657980859279633,|,-0.333636164665222,-0.399387657642365,-0.441205710172653,-0.45589941740036,-0.363176435232162,-0.281295448541641,-0.137776970863342,-0.536249041557312
12:52:30,|,0.893494069576263,1.28610622882843,1.70647346973419,1.91865336894989,2.59108948707581,|,1.4935485124588,1.69982588291168,2.01492094993591,2.26699447631836,2.48850464820862,2.63441801071167,3.08799123764038,3.28834342956543,|,1.29365360736847,1.8459095954895,2.66877293586731,3.16125822067261,4.08136796951294,|,0.67545485496521,1.21732687950134,1.70683634281158,2.06463527679443,2.67787766456604,2.93737888336182,3.39988875389099,3.72028923034668,|,-0.349591165781021,-0.455359846353531,-0.462963223457336,-0.456329375505447,-0.351063758134842,|,-0.188135012984276,-0.236520618200302,-0.231522709131241,-0.282625377178192,-0.149287655949593,-0.19139176607132,-0.166373088955879,-0.364657789468765,|,32.0125312805176,32.0494155883789,31.3419303894043,31.5238723754883,30.8231067657471,|,31.3861789703369,30.8457889556885,29.5189800262451,30.7524547576904,30.1302700042725,30.2222309112549,29.4816207885742,30.1274757385254,|,0.0776854008436203,0.118753768503666,0.182798445224762,0.28225764632225,0.246296674013138,|,0.021455455571413,0.0497467406094074,0.0792726501822472,0.118986651301384,0.133106499910355,0.157065346837044,0.141368642449379,0.0906088277697563,|,-0.197449058294296,-0.261838316917419,-0.229882031679153,-0.490537792444229,-0.464796632528305,|,-0.0998455733060837,-0.0265188813209534,-0.0649256482720375,-0.0498549677431583,-0.149400547146797,-0.222418904304504,-0.245482370257378,-0.247460320591927,|,-0.354421615600586,-0.543014526367188,-0.677986145019531,-0.774753034114838,-0.548293590545654,|,-0.220283478498459,-0.257979422807693,-0.219448193907738,-0.321464538574219,-0.38742008805275,-0.484967797994614,-0.492292195558548,-0.747751355171204
