CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
18:02:30,|,274.932821035,273.183350593,0.00197701,0.002734106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:07:30,|,274.917678714,273.165227979,0.001325509,0.00173527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:12:30,|,274.935849786,273.193247944,0.001162074,0.001211764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:17:30,|,274.923926234,273.177733138,0.001328373,0.001545488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:22:30,|,274.934139967,273.196057737,0.000978594,0.001163038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:27:30,|,274.935578704,273.195953801,0.000709506,0.0010098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:32:30,|,274.938952327,273.199997112,0.000769145,0.001408442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:37:30,|,274.9222821,273.183177665,0.000767761,0.000747829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:42:30,|,274.935076237,273.189259961,0.000637028,0.000599656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:47:30,|,274.9322896,273.186920866,0.00105335,0.001189033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:52:30,|,274.92727983,273.181878552,0.001152562,0.001421087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18:57:30,|,274.873298764,273.124432825,0.001331074,0.001789393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:02:30,|,274.852704167,273.107198849,0.001131632,0.001522037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:07:30,|,274.85361886,273.113942273,0.000506932,0.000692471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:12:30,|,274.823065758,273.078103788,0.00111093,0.001011608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:17:30,|,274.811168551,273.068202689,0.000883245,0.001487004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:22:30,|,274.77815783,273.031923313,0.000762752,0.000589508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:27:30,|,274.767310619,273.016825266,0.000903206,0.001401709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:32:30,|,274.721913338,272.971906103,0.001283238,0.001150737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:37:30,|,274.732359052,272.976720046,0.001513157,0.00160102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:42:30,|,274.725749254,272.967463721,0.001099391,0.000766435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:47:30,|,274.716495514,272.967707884,0.001302022,0.001771727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:52:30,|,274.718554616,272.968537934,0.000709561,0.00082874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19:57:30,|,274.672663927,272.922174491,0.001198716,0.001135495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:02:30,|,274.65258944,272.905658975,0.001098691,0.001356375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:07:30,|,274.637830734,272.885599144,0.000754688,0.000637037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:12:30,|,274.605729342,272.862581745,0.000718991,0.000817137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:17:30,|,274.624865294,272.881550148,0.000176332,0.000553064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:22:30,|,274.652612209,272.908414893,0.000319335,0.000419533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:27:30,|,274.654206514,272.91566705,-3.21e-05,0.000174243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:32:30,|,274.632615566,272.891464256,0.000111153,0.000170717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:37:30,|,274.607192874,272.871215776,0.000189772,0.000777582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:42:30,|,274.594052553,272.85411264,7.87e-05,0.000193694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:47:30,|,274.626723051,272.9082717,3.2e-05,0.000151851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:52:30,|,274.640308976,272.923499607,-1.35e-06,0.001027744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20:57:30,|,274.644271016,272.945723239,-0.000664825,-0.001263566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:02:30,|,274.671700835,272.944183916,-0.000289215,-8.75e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:07:30,|,274.64182663,272.914002098,0.000110758,0.001295977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:12:30,|,274.598511219,272.85433352,7.55e-05,0.000224856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:17:30,|,274.578959107,272.847992703,-0.000298974,-0.000300738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:22:30,|,274.627109289,272.897918202,-0.000287186,-0.000506228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:27:30,|,274.638710856,272.917424217,0.000170373,0.000208302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:32:30,|,274.629379392,272.895756193,0.00026827,0.000729104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21:37:30,|,274.591544271,272.859367698,-0.000439123,0.000131425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
