CDT_Time,bar_fence,R_Bulk_lconv_1_5_4_5,L_lconv_1_5,L_high_lconv_4_5,Term_3_lconv_1_5,Term_3_lconv_4_5
21:57:30,|,NaN,NaN,467.042422090086,NaN,0.0096350990555886
22:02:30,|,NaN,NaN,176.610081776252,NaN,0.0254798591039727
22:07:30,|,NaN,NaN,188.455801952346,NaN,0.0238782778422386
22:12:30,|,NaN,NaN,864.608723261925,NaN,0.00520466643341599
22:17:30,|,NaN,NaN,-701.05806362094,NaN,-0.0064188691829
22:22:30,|,NaN,NaN,-562.830059191937,NaN,-0.00799530857762059
22:27:30,|,NaN,NaN,-1117.68779321108,NaN,-0.00402616904947281
22:32:30,|,NaN,NaN,-404.852129473287,NaN,-0.0111151693974156
22:37:30,|,NaN,NaN,-430.999546153399,NaN,-0.0104408462611197
22:42:30,|,-0.597659151931203,-115.926702761427,-417.955300774406,-0.0129392104171801,-0.0107667015866582
22:47:30,|,-0.704654227106888,-408.985781523638,-459.949538360604,-0.00366760916335989,-0.00978368195789332
22:52:30,|,-0.740798989868651,-449.309239419819,-542.54269048316,-0.00333845794477076,-0.00829427818111887
22:57:30,|,-0.919085088354864,-290.275224867394,-614.224060277856,-0.00516750956160742,-0.00732631671570198
23:02:30,|,-1.10095266958355,1040.91397276665,-2000.13960199634,0.00144104127645933,-0.00224984295871576
23:07:30,|,-0.883852786319346,107.706502107299,113.856060303082,0.0139267358112296,0.0395235878355627
23:12:30,|,-0.674394737558626,115.481841696557,112.951603969709,0.0129890550580362,0.0398400716930661
23:17:30,|,-0.775296885306549,64.6935627583793,55.2395594044703,0.0231862326952416,0.0814633579361213
23:22:30,|,-0.615445430295559,51.489848367202,59.8841158338777,0.0291319560567102,0.0751451355228035
23:27:30,|,-0.619179516994668,38.253435176167,42.7678251925873,0.0392121646877492,0.105219285285985
23:32:30,|,-0.462622051799051,46.5533039756095,67.9372986777691,0.0322211287255979,0.0662375467906633
23:37:30,|,-0.320053736032154,27.9406100279721,23.9841941098787,0.0536852988713672,0.187623564893786
23:42:30,|,-0.380280324346631,43.9187431954293,53.1330969746477,0.0341539828069604,0.0846929739884569
23:47:30,|,-0.398859052489724,31.1045183282425,18.8614702351024,0.0482245050114799,0.238581613411303
23:52:30,|,-1.11306298975453,26.7611262061952,33.7765457405223,0.0560514527095183,0.133228543693302
23:57:30,|,-0.745058593319402,10.3818935147739,7.59814429131009,0.144482314123665,0.592249874110261
00:02:30,|,-0.450590349739004,17.9467881333038,13.0341662161617,0.0835804149945055,0.345246479550048
00:07:30,|,-0.535577587645608,7.65361209219603,9.18508645554794,0.195985892926226,0.48992462093614
00:12:30,|,-0.590836106936559,14.841087715747,12.8492494814569,0.101070759012389,0.350215007226226
00:17:30,|,-0.569266674285503,12.855737762439,16.5218818968082,0.116679417993621,0.272366067504049
00:22:30,|,-0.808198038388486,9.55457319819817,15.0669795660647,0.156992883814305,0.298666363770437
00:27:30,|,-1.8755450053472,8.77020207694348,8.05609581691322,0.171033687347233,0.558583227194562
00:32:30,|,-0.740382408607494,5.72355314910858,11.8327792571205,0.262074966532567,0.380299497034229
00:37:30,|,-0.375908431363494,8.58216925791046,6.65917322304211,0.174780985427129,0.675759564930534
00:42:30,|,-1.05168836377565,5.90639739576569,5.5174070791502,0.253961916120875,0.815600504991757
00:47:30,|,-2.38266346825683,0.503865666545577,0.479934452845416,2.97698394551024,9.37628039270901
00:52:30,|,NaN,NaN,NaN,NaN,NaN
00:57:30,|,NaN,NaN,NaN,NaN,NaN
01:02:30,|,NaN,NaN,NaN,NaN,NaN
01:07:30,|,NaN,NaN,NaN,NaN,NaN
01:12:30,|,NaN,NaN,NaN,NaN,NaN
01:17:30,|,NaN,NaN,NaN,NaN,NaN
01:22:30,|,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN
02:12:30,|,NaN,NaN,NaN,NaN,NaN
02:17:30,|,NaN,NaN,NaN,NaN,NaN
02:22:30,|,NaN,NaN,NaN,NaN,NaN
02:27:30,|,NaN,NaN,NaN,NaN,NaN
02:32:30,|,NaN,NaN,NaN,NaN,NaN
02:37:30,|,NaN,NaN,NaN,NaN,NaN
02:42:30,|,NaN,NaN,NaN,NaN,NaN
02:47:30,|,NaN,NaN,NaN,NaN,NaN
02:52:30,|,NaN,NaN,NaN,NaN,NaN
02:57:30,|,NaN,NaN,NaN,NaN,NaN
03:02:30,|,NaN,NaN,NaN,NaN,NaN
03:07:30,|,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
